attempts,season,epa_per_play_raw,total_epa_raw,success_rate_raw,epa_per_play_adj,avg_opponent_sp_defense,sos_percentile,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
1561,2006,0.22261051880165905,347.4950198493898,0.518257527226137,0.22261051880165905,23.112605042016806,50.0,0.14990390775144138,,0,0.2717273545031454,204,0.2717273545031454,0.13068545803971812,0.05957719410634209,Dan LeFevour,2010,Central Michigan,4
1039,2007,0.16448106852613742,170.89583019865677,0.4898941289701636,0.16448106852613742,27.040000000000003,50.0,0.16073147256977863,,0,0.014925182342529297,125,0.014925182342529297,0.12030798845043311,0.05871029836381136,Jimmy Clausen,2010,Notre Dame,3
570,2006,0.09267313987539526,52.823689728975296,0.4543859649122807,0.09267313987539526,23.112605042016806,50.0,0.16842105263157894,,0,0.2439737760103666,65,0.2439737760103666,0.11403508771929824,0.06140350877192982,Jonathan Crompton,2010,Tennessee,4
806,2007,0.48351727892724433,389.7149268153589,0.6029776674937966,0.48351727892724433,27.040000000000003,50.0,0.228287841191067,,0,0.6270417245496221,119,0.6270417245496221,0.14764267990074442,0.10421836228287841,Sam Bradford,2010,Oklahoma,3
968,2006,0.31754210024239976,307.06321093440056,0.5449844881075491,0.31754210024239976,23.112605042016806,50.0,0.22727272727272727,,0,0.0564486694026303,154,0.0564486694026303,0.1590909090909091,0.08884297520661157,Tim Tebow,2010,Florida,4
596,2007,0.3070436361302065,182.9980071336031,0.5536912751677853,0.3070436361302065,27.040000000000003,50.0,0.18120805369127516,,0,0.31824452736798453,85,0.31824452736798453,0.14261744966442952,0.08221476510067115,Tony Pike,2010,Cincinnati,3
1118,2007,0.2583299670868248,288.81290320307016,0.5411449016100179,0.2583299670868248,27.040000000000003,50.0,0.1887298747763864,,0,0.16136137749019422,114,0.16136137749019422,0.10196779964221825,0.06082289803220036,Andy Dalton,2011,TCU,4
823,2008,0.18391178734826868,151.35940098762512,0.5042527339003645,0.18391178734826868,25.389999999999997,50.0,0.15674362089914945,,0,0.003400544862489435,74,0.003400544862489435,0.0899149453219927,0.04738760631834751,Blaine Gabbert,2011,Missouri,3
895,2007,0.17361459873575072,155.3850658684969,0.5139664804469274,0.17361459873575072,27.040000000000003,50.0,0.17988826815642459,,0,0.33488009390623674,115,0.33488009390623674,0.12849162011173185,0.054748603351955305,Christian Ponder,2011,Florida State,4
1118,2007,0.3397828774503391,379.87725698947906,0.5161001788908766,0.3397828774503391,27.040000000000003,50.0,0.2003577817531306,,0,0.28981667977792247,135,0.28981667977792247,0.12075134168157424,0.0706618962432916,Colin Kaepernick,2011,Nevada,4
