season,week,season_type,home_team,away_team,home_division,away_division,completed
2003,3,regular,Memphis,Ole Miss,fbs,fbs,True
2003,3,regular,Rhode Island,Fordham,fcs,fcs,True
2003,3,regular,Iowa,Buffalo,fbs,fbs,True
2003,3,regular,Ohio State,San Diego State,fbs,fbs,True
2003,3,regular,Lehigh,Holy Cross,fcs,fcs,True
2003,3,regular,Northeastern,UAlbany,fcs,fcs,True
2003,3,regular,Nebraska,Utah State,fbs,fbs,True
2003,3,regular,South Carolina,Virginia,fbs,fbs,True
2003,3,regular,Central Michigan,New Hampshire,fbs,fcs,True
2003,3,regular,Purdue,Bowling Green,fbs,fbs,True
2003,3,regular,Army,UConn,fbs,fbs,True
2003,3,regular,Northwestern,Air Force,fbs,fbs,True
2003,3,regular,Davidson,VMI,fcs,fcs,True
2003,3,regular,St. Francis (PA),Gannon,fcs,,True
2003,3,regular,Wagner,La Salle,fcs,fcs,True
2003,3,regular,Monmouth,St. Peter's,fcs,fcs,True
2003,3,regular,Lafayette,Marist,fcs,fcs,True
2003,3,regular,Massachusetts,Central Connecticut,fcs,fcs,True
2003,3,regular,Buffalo State,Robert Morris,,fcs,True
2003,3,regular,Georgia,Middle Tennessee,fbs,fbs,True
2003,3,regular,Delaware State,Bucknell,fcs,fcs,True
2003,3,regular,Virginia Tech,James Madison,fbs,fcs,True
2003,3,regular,Georgetown,Colgate,fcs,fcs,True
2003,3,regular,Northern Illinois,Tennessee Tech,fbs,fcs,True
2003,3,regular,North Carolina,Syracuse,fbs,fbs,True
2003,3,regular,Wingate,Charleston Southern,,fcs,True
2003,3,regular,Iowa State,Ohio,fbs,fbs,True
2003,3,regular,Notre Dame,Washington State,fbs,fbs,True
2003,3,regular,Montana State,Gardner-Webb,fcs,fcs,True
2003,3,regular,Colorado,UCLA,fbs,fbs,True
2003,3,regular,Georgia Tech,Auburn,fbs,fbs,True
2003,3,regular,Eastern Kentucky,App State,fcs,fcs,True
2003,3,regular,Oregon,Nevada,fbs,fbs,True
2003,3,regular,Wisconsin,Akron,fbs,fbs,True
2003,3,regular,Michigan State,Rutgers,fbs,fbs,True
2003,3,regular,Ball State,Missouri,fbs,fbs,True
2003,3,regular,Washington,Indiana,fbs,fbs,True
2003,3,regular,Temple,Villanova,fbs,fcs,True
2003,3,regular,Tennessee,Marshall,fbs,fbs,True
2003,3,regular,Indiana State,Florida International,fcs,fcs,True
2003,3,regular,Clemson,Furman,fbs,fcs,True
2003,3,regular,Northern Iowa,Northern Michigan,fcs,,True
2003,3,regular,Duke,Western Carolina,fbs,fcs,True
2003,3,regular,California,Colorado State,fbs,fbs,True
2003,3,regular,Elon,Greeneville,fcs,,True
2003,3,regular,Georgia Southern,Savannah St,fcs,fcs,True
2003,3,regular,Delaware,The Citadel,fcs,fcs,True
2003,3,regular,Youngstown State,Slippery Rock,fcs,,True
2003,3,regular,Arkansas,Tulsa,fbs,fbs,True
2003,3,regular,Wofford,South Carolina State,fcs,fcs,True
2003,3,regular,Texas Tech,New Mexico,fbs,fbs,True
2003,3,regular,Arkansas State,UT Martin,fbs,fcs,True
2003,3,regular,TCU,Navy,fbs,fbs,True
2003,3,regular,Oklahoma State,Wyoming,fbs,fbs,True
2003,3,regular,East Carolina,West Virginia,fbs,fbs,True
2003,3,regular,Coastal Carolina,Newberry,fcs,,True
2003,3,regular,Western Michigan,William & Mary,fbs,fcs,True
2003,3,regular,Vanderbilt,Chattanooga,fbs,fcs,True
2003,3,regular,Toledo,Liberty,fbs,fcs,True
2003,3,regular,South Florida,Nicholls,fbs,fcs,True
2003,3,regular,Kentucky,Murray State,fbs,fcs,True
