player_name,draft_year,file,college,seasons_played,total_plays,total_attempts
Kinkead Dent,2026,Kinkead_Dent.csv,UT Martin,2,556.0,
Kirk Francis,2026,Kirk_Francis.csv,Tulsa,2,360.0,
Kobe Tracy,2026,Kobe_Tracy.csv,Idaho State,1,401.0,
Kurtis Rourke,2026,Kurtis_Rourke.csv,Indiana,1,316.0,
Kyle McCord,2026,Kyle_McCord.csv,Syracuse,1,575.0,
Kyron Drones,2026,Kyron_Drones.csv,Virginia Tech,2,495.0,
Lanorris Sellers,2026,Lanorris_Sellers.csv,South Carolina,2,285.0,
Logan Fife,2026,Logan_Fife.csv,Montana,1,241.0,
Luke Altmyer,2026,Luke_Altmyer.csv,Illinois,2,568.0,
Luke Bailey,2026,Luke_Bailey.csv,Drake,3,729.0,
Maalik Murphy,2026,Maalik_Murphy.csv,Duke,1,401.0,
Maddux Madsen,2026,Maddux_Madsen.csv,Boise State,3,522.0,
Marcel Reed,2026,Marcel_Reed.csv,Texas A&M,2,273.0,
Mark Gronowski,2026,Mark_Gronowski.csv,South Dakota State,3,870.0,
Marqui Adams,2026,Marqui_Adams.csv,Delaware State,3,282.0,
Matt Morrissey,2026,Matt_Morrissey.csv,Eastern Kentucky,1,278.0,
Matthew Caldwell,2026,Matthew_Caldwell.csv,Troy,1,220.0,
Matthew Downing,2026,Matthew_Downing.csv,Elon,2,398.0,
Matthew Schecklman,2026,Matthew_Schecklman.csv,Northern Iowa,1,147.0,
Maverick McIvor,2026,Maverick_McIvor.csv,Abilene Christian,3,921.0,
Max Brosmer,2026,Max_Brosmer.csv,Minnesota,1,388.0,
Mekhi Hagens,2026,Mekhi_Hagens.csv,Arkansas-Pine Bluff,2,258.0,
Michael Van Buren Jr.,2026,Michael_Van_Buren_Jr..csv,Mississippi State,1,243.0,
Mikey Keene,2026,Mikey_Keene.csv,Fresno State,2,750.0,
Miles Hastings,2026,Miles_Hastings.csv,UC Davis,3,1000.0,
Miller Moss,2026,Miller_Moss.csv,USC,4,457.0,
Myles Burkett,2026,Myles_Burkett.csv,UAlbany,1,212.0,
Myles Crawley,2026,Myles_Crawley.csv,Grambling,2,360.0,
Nate Glantz,2026,Nate_Glantz.csv,Lindenwood,1,236.0,
Nate Lamb,2026,Nate_Lamb.csv,Western Illinois,1,5.0,
Nate Yarnell,2026,Nate_Yarnell.csv,Pittsburgh,3,240.0,
Nick Evers,2026,Nick_Evers.csv,UConn,1,177.0,
Nick Vattiato,2026,Nick_Vattiato.csv,Middle Tennessee,1,93.0,
Nico Iamaleava,2026,Nico_Iamaleava.csv,Tennessee,2,376.0,
Noah Bodden,2026,Noah_Bodden.csv,Southern,3,167.0,
Noah Fifita,2026,Noah_Fifita.csv,Arizona,3,763.0,
Owen McCown,2026,Owen_McCown.csv,UTSA,2,492.0,
Parker Awad,2026,Parker_Awad.csv,New Mexico State,1,155.0,
Parker Navarro,2026,Parker_Navarro.csv,Ohio,3,329.0,
Pat McQuaide,2026,Pat_McQuaide.csv,Nicholls,2,519.0,
Paxton DeLaurent,2026,Paxton_DeLaurent.csv,Southeast Missouri State,3,1080.0,
Payton Thorne,2026,Payton_Thorne.csv,Auburn,2,571.0,
