attempts,epa_per_play_raw,success_rate,big_play_rate,third_down_epa,red_zone_epa,high_leverage_epa,scoring_play_rate,avg_opp_def,sos_percentile,fcs_games,epa_per_play_adj,success_rate_adj,has_sos,is_fcs_team,player_name,draft_year,college,seasons_played
312.6666666666667,0.08878841305498264,0.4835602037400095,0.1730848859099353,,-0.2565357474519996,-0.2565357474519996,0.04308709038383166,27.094871794871796,39.01960784313726,1.0,0.07077410304077156,0.47568852847907434,1.0,0.0,Josh Freeman,2009,Kansas State,3
146.33333333333334,0.34447422503702413,0.4778970688479891,0.261683221345798,,1.9223192940542713,1.9223192940542713,0.05698704839809134,21.333333333333332,87.34943977591035,0.0,0.3806866407576803,0.4937207321879737,1.0,0.0,Mark Sanchez,2009,USC,3
305.0,0.23483958333104824,0.4994337439658767,0.2079831175448242,,0.2594477262841807,0.2594477262841807,0.05262163403154963,21.592307692307696,83.83986928104575,1.0,0.2686145716822243,0.5141923297808533,1.0,0.0,Matthew Stafford,2009,Georgia,3
189.5,0.17337426672663506,0.47006244033744893,0.18365292563941923,,0.6954713881440767,0.6954713881440767,0.07457951526260242,23.251442307692308,70.03403480036081,0.75,0.1924341891834929,0.47839101467421963,1.0,0.0,Pat White,2009,West Virginia,4
32.0,0.5433925352990627,0.5625,0.21875,,,,0.03125,48.9,0.0,,0.32211998274435705,0.4658109968411334,1.0,1.0,Rhett Bomar,2009,Sam Houston State,1
190.0,0.10174380022553578,0.4337719621159911,0.12675413292715162,,-0.016028501858582345,-0.016028501858582345,0.035885122910604215,23.937937062937063,63.387397331814086,0.75,0.11434253821585062,0.4392772062290951,1.0,0.0,Stephen McGee,2009,Texas A&M,4
183.5,0.16525479077696298,0.4108101067206848,0.12584463514923627,,1.074408787073091,1.074408787073091,0.08565415330755007,29.89423076923077,22.584419360964723,0.75,0.12179379622124904,0.3918190470914251,1.0,0.0,Tom Brandstater,2009,Fresno State,4
399.75,0.2703948608931957,0.5191283120688666,0.17798466450552908,,0.45454973065935333,0.45454973065935333,0.07028049011527544,24.738873626373625,60.301120448179276,0.25,0.27539202808595536,0.5213119137352624,1.0,0.0,Colt McCoy,2010,Texas,4
390.25,0.22761580464818706,0.518907790367165,0.15128822719011395,,0.2651761991911084,0.2651761991911084,0.05978725910067617,29.90054945054945,23.278186274509803,0.75,0.1840320622248132,0.4998630938596441,1.0,0.0,Dan LeFevour,2010,Central Michigan,4
346.3333333333333,0.11628592004049705,0.4732970250492663,0.15181994195849127,,-0.04720685678217546,-0.04720685678217546,0.05493999646403883,24.05705128205128,70.55555555555556,0.0,0.13446808245590033,0.48124204642187113,1.0,0.0,Jimmy Clausen,2010,Notre Dame,3
