player_name,draft_year,nfl_team,l1_team_pass_epa_prev,l2_hc_new,l3_qb_churn3
Kenny Pickett,2022,PIT,-0.08031226524849482,0.0,2.0
Malik Willis,2022,TEN,0.03947407917953726,0.0,1.0
Sam Howell,2022,WAS,-0.060474444846832016,0.0,3.0
Skylar Thompson,2022,MIA,-0.007282080250958916,1.0,2.0
Aidan O'Connell,2023,LV,0.031363854601325535,0.0,1.0
Anthony Richardson,2023,IND,-0.15444718456686563,1.0,3.0
Bryce Young,2023,CAR,-0.08360839170668576,1.0,3.0
C.J. Stroud,2023,HOU,-0.18235216863176343,1.0,2.0
Clayton Tune,2023,ARI,-0.12110223232926626,1.0,1.0
Dorian Thompson-Robinson,2023,CLE,-0.017263047302770156,0.0,2.0
Hendon Hooker,2023,DET,0.17037494643112447,0.0,2.0
Jaren Hall,2023,MIN,0.0504789926289159,0.0,1.0
Max Duggan,2023,LAC,0.043568493403045444,0.0,1.0
Sean Clifford,2023,GB,-0.0031577294553501835,0.0,1.0
Stetson Bennett,2023,LA,-0.11593410378667007,0.0,2.0
Tanner McKee,2023,PHI,0.14482733407307577,0.0,2.0
Will Levis,2023,TEN,-0.0530091285542772,0.0,1.0
Bo Nix,2024,DEN,-0.017010611139827953,0.0,2.0
Caleb Williams,2024,CHI,-0.11422199734655998,0.0,1.0
Devin Leary,2024,BAL,0.10240478255840028,0.0,1.0
Drake Maye,2024,NE,-0.22815402484680466,1.0,1.0
J.J. McCarthy,2024,MIN,0.004759195751855653,0.0,1.0
Jayden Daniels,2024,WAS,-0.12444571379933085,1.0,3.0
Joe Milton,2024,NE,-0.22815402484680466,1.0,1.0
Michael Pratt,2024,GB,0.1706074762780228,0.0,2.0
Spencer Rattler,2024,NO,0.030628996303920693,0.0,3.0
Graham Mertz,2025,HOU,-0.020354656882666227,0.0,2.0
Athan Kaliakmanis,2026,,,,
Behren Morton,2026,,,,
Cade Klubnik,2026,,,,
Cam Miller,2025,LV,-0.09139736116732841,1.0,3.0
Carson Beck,2026,,,,
Dillon Gabriel,2025,CLE,-0.23787996988839002,0.0,3.0
Drew Allar,2026,,,,
Fernando Mendoza,2026,,,,
Garrett Nussmeier,2026,,,,
Jalen Milroe,2025,SEA,0.013631570479438427,0.0,1.0
Jaxson Dart,2025,NYG,-0.1470912909042091,0.0,2.0
Kurtis Rourke,2025,SF,0.12293708817213893,0.0,2.0
Kyle McCord,2025,PHI,0.13299330517092597,0.0,1.0
Quinn Ewers,2025,MIA,0.06735351664961298,0.0,1.0
Riley Leonard,2025,IND,-0.06357083588636196,0.0,3.0
Shedeur Sanders,2025,CLE,-0.23787996988839002,0.0,3.0
Taylen Green,2026,,,,
Tommy Mellott,2025,LV,-0.09139736116732841,1.0,3.0
Tyler Shough,2025,NO,-0.07643267555433912,1.0,2.0
Will Howard,2025,PIT,0.020174784201680177,0.0,2.0
Ty Simpson,2026,,,,
