player_name,season,college,plays,comp_adj_coverage,raw_epa_per_play,context_adj_epa_per_play,comp_adj_epa_per_play,full_adj_epa_per_play,college_leaf_raw,college_leaf_context,college_leaf_competition,college_leaf_full,team_sp_plus,draft_year,draft_round,draft_pick,rookie_leaf_mean,rookie_games
DeShone Kizer,2016,Notre Dame,390,90.0,-0.00043305034433902716,-0.008796366245251314,0.02459259339270725,0.009429613179004502,-0.0008661006886780543,-0.017592732490502628,0.0491851867854145,0.018859226358009004,15.7,2017,2,52,-0.3139972880677403,15
Deshaun Watson,2016,Clemson,613,94.12724306688418,-0.03980757805350165,-0.05013214574674022,-0.06707835179914953,-0.08227280308802169,-0.0796151561070033,-0.10026429149348044,-0.13415670359829907,-0.16454560617604339,28.7,2017,1,12,-0.2608106912645114,7
Desmond Ridder,2021,Cincinnati,397,89.67254408060454,0.10267648468690195,0.1071243240040556,0.13354651845710105,0.14177757755247716,0.2053529693738039,0.2142486480081112,0.2670930369142021,0.2835551551049543,21.2,2022,3,74,-0.107405704133691,4
Drew Lock,2018,Missouri,425,92.0,0.21472708709099714,0.21706884613633154,0.296802982672488,0.29888798895657975,0.4294541741819943,0.4341376922726631,0.593605965344976,0.5977759779131595,20.8,2019,2,42,0.116720299850732,5
Dwayne Haskins,2018,Ohio State,551,100.0,0.36360341342953717,0.3795543148502464,0.5298889805388428,0.5535183725342642,0.7272068268590743,0.7591086297004928,1.0597779610776856,1.1070367450685283,24.1,2019,1,15,-0.575462035980848,9
Gardner Minshew II,2018,Washington St.,657,75.34246575342466,0.18518779130831156,0.19629637633012312,0.24402021475195249,0.25935151845387766,0.3703755826166231,0.39259275266024624,0.48804042950390497,0.5187030369077553,,2019,6,178,-0.0479133845616439,8
Ian Book,2020,Notre Dame,368,100.0,0.16278019438133293,0.17739220702210848,0.22698885926523288,0.24691025618030818,0.32556038876266585,0.35478441404421696,0.45397771853046576,0.49382051236061636,21.0,2021,4,133,-1.16121555476473,1
Jacoby Brissett,2015,NC State,379,92.61213720316623,0.29492004760203977,0.33691317990079545,0.37260421918585324,0.4269670402593076,0.5898400952040795,0.6738263598015909,0.7452084383717065,0.8539340805186152,9.6,2016,3,91,-0.1133930913547199,3
Jake Luton,2019,Oregon State,423,93.61702127659575,0.1516174176624199,0.14621757332103472,0.1470810739278934,0.1382251896064332,0.3032348353248398,0.29243514664206943,0.2941621478557868,0.2764503792128664,-0.7,2020,6,189,-0.0634226464190384,3
Jalen Hurts,2019,Oklahoma,389,92.03084832904884,0.40275084014723417,0.40433102702343676,0.5849580755558602,0.5866904700906387,0.8055016802944683,0.8086620540468735,1.1699161511117204,1.1733809401812774,22.9,2020,2,53,0.1890527294635663,9
Jameis Winston,2014,Florida State,469,93.17697228144989,0.48619038633562,0.5230702689178973,0.7235063071706055,0.7778872058171471,0.97238077267124,1.0461405378357946,1.447012614341211,1.5557744116342942,28.5,2015,1,1,-0.0116285458922431,16
Jared Goff,2015,California,510,84.31372549019608,0.4811605169334867,0.5236402662910269,0.684458761014901,0.7457804759111897,0.9623210338669734,1.0472805325820538,1.368917522029802,1.4915609518223794,12.1,2016,1,1,-0.349221070892647,7
Jarrett Stidham,2018,Auburn,368,86.68478260869566,0.1113639192291252,0.12012438646598678,0.13672998685397855,0.1520157075501493,0.2227278384582504,0.24024877293197355,0.2734599737079571,0.3040314151002986,23.6,2019,4,133,-1.2896721074958306,2
