aggregation_method,outcome,outcome_type,feature_combo,n_features,features,n_samples,r,r_squared,cv_r2,rmse,auc,accuracy
final_season,Sustained Starter,classification,five_no_situational,5,"epa_per_play, attempts, big_play_rate, high_leverage_epa, success_rate",110,0.32109684256871285,,,,0.6907323845886845,0.6454545454545455
career_average,Rookie LEAF,regression,solo_epa_per_play,1,epa_per_play,102,0.2096729834043177,0.04396275996966729,-0.18063848351394812,0.4638477946894591,,
career_average,Rookie LEAF,regression,solo_attempts,1,attempts,102,0.09771172181042306,0.009547580579157507,-0.13559008184842225,0.47212271943953665,,
career_average,Rookie LEAF,regression,solo_big_play_rate,1,big_play_rate,102,0.09347231921496181,0.008737074459423719,-0.17068386822952952,0.47231585345270327,,
career_average,Rookie LEAF,regression,solo_red_zone_epa,1,red_zone_epa,102,0.05779034472737524,0.003339723943708867,-0.12836629661417204,0.4735999696248632,,
career_average,Rookie LEAF,regression,solo_high_leverage_epa,1,high_leverage_epa,102,0.05779034472737524,0.003339723943708867,-0.12836629661417204,0.4735999696248632,,
career_average,Rookie LEAF,regression,solo_success_rate,1,success_rate,102,0.1610935988596749,0.025951147593561846,-0.11521197302166904,0.4681968213775093,,
career_average,Rookie LEAF,regression,pair_epa_volume,2,"epa_per_play, attempts",102,0.21822318168206403,0.047621357023443125,-0.21303152158027414,0.4629594093925313,,
career_average,Rookie LEAF,regression,pair_epa_bigplay,2,"epa_per_play, big_play_rate",102,0.21242738296480343,0.04512539303327526,-0.19057975372192332,0.46356566716592457,,
career_average,Rookie LEAF,regression,pair_epa_leverage,2,"epa_per_play, high_leverage_epa",102,0.21171791658225222,0.04482447620192951,-0.21372919098550627,0.4636387048833343,,
career_average,Rookie LEAF,regression,pair_volume_bigplay,2,"attempts, big_play_rate",102,0.13524554759134078,0.018291358143281623,-0.19235046355428106,0.4700341348381686,,
career_average,Rookie LEAF,regression,triple_epa_vol_bp,3,"epa_per_play, attempts, big_play_rate",102,0.21980756319299,0.04831536483684029,-0.23607076417117115,0.4627906970824254,,
career_average,Rookie LEAF,regression,triple_epa_lev_sr,3,"epa_per_play, high_leverage_epa, success_rate",102,0.2121028778975117,0.044987630812406754,-0.3136618963509529,0.4635991058667495,,
career_average,Rookie LEAF,regression,five_no_situational,5,"epa_per_play, attempts, big_play_rate, high_leverage_epa, success_rate",102,0.22071854180991815,0.04871667469869659,-0.37356791689107116,0.46269311115584116,,
career_average,85+ Starts,classification,solo_epa_per_play,1,epa_per_play,81,0.03242320137018353,,,,0.5388007054673721,0.7777777777777778
career_average,85+ Starts,classification,solo_attempts,1,attempts,81,0.012663205708565606,,,,0.5348324514991182,0.7777777777777778
career_average,85+ Starts,classification,solo_big_play_rate,1,big_play_rate,81,0.15468834841178636,,,,0.5652557319223985,0.7777777777777778
career_average,85+ Starts,classification,solo_red_zone_epa,1,red_zone_epa,81,0.07987694818266522,,,,0.5229276895943562,0.7777777777777778
career_average,85+ Starts,classification,solo_high_leverage_epa,1,high_leverage_epa,81,0.07987694818266522,,,,0.5229276895943562,0.7777777777777778
career_average,85+ Starts,classification,solo_success_rate,1,success_rate,81,0.21895214967003743,,,,0.6604938271604939,0.7654320987654321
career_average,85+ Starts,classification,pair_epa_volume,2,"epa_per_play, attempts",81,0.03563086950048022,,,,0.570546737213404,0.7777777777777778
career_average,85+ Starts,classification,pair_epa_bigplay,2,"epa_per_play, big_play_rate",81,0.18179265889997254,,,,0.5811287477954146,0.7777777777777778
career_average,85+ Starts,classification,pair_epa_leverage,2,"epa_per_play, high_leverage_epa",81,0.1182019563345368,,,,0.5423280423280423,0.7777777777777778
career_average,85+ Starts,classification,pair_volume_bigplay,2,"attempts, big_play_rate",81,0.15632734427512934,,,,0.5687830687830687,0.7777777777777778
career_average,85+ Starts,classification,triple_epa_vol_bp,3,"epa_per_play, attempts, big_play_rate",81,0.182052988122473,,,,0.5784832451499118,0.7777777777777778
career_average,85+ Starts,classification,triple_epa_lev_sr,3,"epa_per_play, high_leverage_epa, success_rate",81,0.37210231789492476,,,,0.7345679012345679,0.7901234567901234
career_average,85+ Starts,classification,five_no_situational,5,"epa_per_play, attempts, big_play_rate, high_leverage_epa, success_rate",81,0.40171052403444,,,,0.7495590828924162,0.7901234567901234
career_average,Bust,classification,solo_epa_per_play,1,epa_per_play,110,0.16799022037752137,,,,0.600883152173913,0.5909090909090909
career_average,Bust,classification,solo_attempts,1,attempts,110,0.07049272843861537,,,,0.563179347826087,0.5727272727272728
career_average,Bust,classification,solo_big_play_rate,1,big_play_rate,110,0.11278332270414566,,,,0.5584239130434783,0.6090909090909091
career_average,Bust,classification,solo_red_zone_epa,1,red_zone_epa,110,0.10288849481448104,,,,0.5669157608695653,0.5727272727272728
career_average,Bust,classification,solo_high_leverage_epa,1,high_leverage_epa,110,0.10288849481448104,,,,0.5669157608695653,0.5727272727272728
career_average,Bust,classification,solo_success_rate,1,success_rate,110,0.2596590363103831,,,,0.6396059782608695,0.6636363636363637
career_average,Bust,classification,pair_epa_volume,2,"epa_per_play, attempts",110,0.1727961733761198,,,,0.615828804347826,0.6
career_average,Bust,classification,pair_epa_bigplay,2,"epa_per_play, big_play_rate",110,0.16960376646985423,,,,0.6049592391304349,0.6272727272727273
career_average,Bust,classification,pair_epa_leverage,2,"epa_per_play, high_leverage_epa",110,0.17365368977450876,,,,0.6063179347826088,0.6090909090909091
career_average,Bust,classification,pair_volume_bigplay,2,"attempts, big_play_rate",110,0.13074311428350674,,,,0.5757472826086957,0.5909090909090909
career_average,Bust,classification,triple_epa_vol_bp,3,"epa_per_play, attempts, big_play_rate",110,0.17525646558790392,,,,0.6165081521739131,0.6090909090909091
career_average,Bust,classification,triple_epa_lev_sr,3,"epa_per_play, high_leverage_epa, success_rate",110,0.284489630501453,,,,0.6589673913043479,0.6454545454545455
career_average,Bust,classification,five_no_situational,5,"epa_per_play, attempts, big_play_rate, high_leverage_epa, success_rate",110,0.29435498348292427,,,,0.6627038043478262,0.6363636363636364
career_average,Elite Peak,classification,solo_epa_per_play,1,epa_per_play,110,0.24939954552525484,,,,0.6310308920513712,0.6363636363636364
career_average,Elite Peak,classification,solo_attempts,1,attempts,110,0.048298887935824854,,,,0.5503297466157585,0.6090909090909091
career_average,Elite Peak,classification,solo_big_play_rate,1,big_play_rate,110,0.18503073289589117,,,,0.598750433877126,0.6545454545454545
career_average,Elite Peak,classification,solo_red_zone_epa,1,red_zone_epa,110,0.12349348926138383,,,,0.5748004165220411,0.5909090909090909
