player_name,draft_year,nfl_name_used,rookie_leaf,reached_85_starts,is_bust,is_elite,is_sustained_starter,total_starts,max_rolling_epa,min_rolling_epa
Jarrett Stidham,2019,J.Stidham,-2.029973128112033,0.0,1.0,0.0,0.0,8,-0.03889314150119779,-0.37652557841656165
Gardner Minshew II,2019,,,,,,,0,,
Joe Burrow,2020,J.Burrow,0.07909284767647887,,0.0,1.0,1.0,84,0.26618285719605955,-0.06120435658099489
Tua Tagovailoa,2020,T.Tagovailoa,-0.06330362916836761,,0.0,1.0,1.0,77,0.30426721762037323,-0.17219308234505354
Justin Herbert,2020,J.Herbert,0.13006505554872907,,0.0,1.0,1.0,97,0.20966635590542868,-0.11365620081119839
Jalen Hurts,2020,J.Hurts,-0.03341343268864304,,0.0,1.0,1.0,91,0.19185124751485494,-0.06432700481172679
Jake Luton,2020,J.Luton,-0.3061702181836554,,1.0,0.0,0.0,3,,
Ben DiNucci,2020,B.DiNucci,-0.5595794589317966,,1.0,0.0,0.0,1,,
Trevor Lawrence,2021,T.Lawrence,-0.11070085050747952,,0.0,1.0,1.0,79,0.1732585344570541,-0.15218695216246578
Zach Wilson,2021,Z.Wilson,-0.22293246754218918,,1.0,0.0,1.0,34,-0.12950629629713015,-0.6600181904675229
Trey Lance,2021,T.Lance,0.14246569927334823,,1.0,0.0,0.0,6,-0.10674425538605443,-0.3048151693499797
Justin Fields,2021,J.Fields,-0.21283791431468435,,0.0,0.0,1.0,54,-0.016878018341983537,-0.3287632802667662
Mac Jones,2021,M.Jones,0.05924616174830083,,0.0,1.0,0.0,57,0.15714825428049212,-0.4036221932788142
Kellen Mond,2021,K.Mond,-0.5858508474969616,,1.0,0.0,0.0,0,,
Davis Mills,2021,D.Mills,-0.11716652578672566,,1.0,0.0,0.0,35,-0.01145610506145509,-0.3433713862993073
Ian Book,2021,I.Book,-1.0617789263882773,,1.0,0.0,0.0,1,,
Kenny Pickett,2022,K.Pickett,-0.02089302272015429,,1.0,0.0,0.0,28,-0.08069274299241366,-0.6937874286047558
Desmond Ridder,2022,D.Ridder,-0.049653532828624204,,1.0,0.0,0.0,21,-0.05004036150326692,-0.19985568735811396
Malik Willis,2022,M.Willis,-0.5470097049467599,,1.0,1.0,0.0,8,0.5173419780030117,-0.2530296497629558
Bailey Zappe,2022,B.Zappe,0.07841855008807716,,1.0,0.0,0.0,13,-0.19952392953651144,-0.39892779306652193
Sam Howell,2022,S.Howell,-0.3391720244500942,,1.0,0.0,0.0,19,-0.07226722879000269,-0.3588017323394234
Skylar Thompson,2022,S.Thompson,-0.26309416516653317,,1.0,0.0,0.0,7,-0.45624901687620156,-0.45624901687620156
Brock Purdy,2022,B.Purdy,0.23250358325690146,,0.0,1.0,1.0,51,0.39850215730699134,0.11637827573058775
Bryce Young,2023,B.Young,-0.280491679978336,,0.0,0.0,0.0,44,0.0493265600519546,-0.4215707087289002
C.J. Stroud,2023,C.Stroud,0.10795595280974679,,0.0,1.0,1.0,49,0.2027727773377876,-0.133602790962777
Anthony Richardson,2023,A.Richardson,0.0175579413220208,,1.0,0.0,0.0,14,0.060182037566569924,-0.06780668121032322
Will Levis,2023,W.Levis,-0.04646224575165692,,1.0,0.0,0.0,19,-0.1869282553600576,-0.36227566974048103
Aidan O'Connell,2023,A.O'Connell,-0.060319163352516116,,1.0,0.0,0.0,21,0.06401118511124046,-0.09038104730784162
Clayton Tune,2023,C.Tune,-1.2410551133091627,,1.0,0.0,0.0,2,,
Dorian Thompson-Robinson,2023,D.Thompson-Robinson,-0.3342976480679448,,1.0,0.0,0.0,6,-0.198577035025974,-0.28972372583770306
Sean Clifford,2023,S.Clifford,2.1436268281540833,,1.0,0.0,0.0,0,,
Jaren Hall,2023,J.Hall,-0.5281684498932233,,1.0,0.0,0.0,1,,
Garrett Grayson,2015,,,,,,,0,,
Bryce Petty,2015,B.Petty,,0.0,1.0,0.0,0.0,7,-0.39360877442534214,-0.39360877442534214
Brett Hundley,2015,B.Hundley,,0.0,1.0,0.0,0.0,11,-0.20802007655779997,-0.49833298871979725
Trevor Siemian,2015,T.Siemian,,0.0,0.0,0.0,0.0,37,0.06445283936792748,-0.23751939803338962
Christian Hackenberg,2016,,,,,,,0,,
Nate Sudfeld,2016,N.Sudfeld,,0.0,1.0,0.0,0.0,2,,
Jake Rudock,2016,J.Rudock,,0.0,1.0,0.0,0.0,0,,
Brandon Allen,2016,B.Allen,,0.0,1.0,0.0,0.0,11,-0.04771499773101453,-0.367005086867705
Jeff Driskel,2016,J.Driskel,,0.0,1.0,0.0,0.0,12,0.08446608431879735,-0.13959309905920847
Brandon Doughty,2016,,,,,,,0,,
Davis Webb,2017,D.Webb,,0.0,1.0,0.0,0.0,1,,
Joshua Dobbs,2017,J.Dobbs,,0.0,1.0,0.0,0.0,16,0.05175851969125711,-0.3303411307034777
Brad Kaaya,2017,,,,,,,0,,
Chad Kelly,2017,,,,,,,0,,
Mason Rudolph,2018,M.Rudolph,,0.0,1.0,0.0,0.0,26,0.06103623060223531,-0.36018709284217326
Mike White,2018,M.White,,0.0,1.0,0.0,0.0,9,-0.626110564101985,-0.9489492861632189
Luke Falk,2018,L.Falk,,0.0,1.0,0.0,0.0,3,,
Tanner Lee,2018,,,,,,,0,,
Danny Etling,2018,,,,,,,0,,
Alex McGough,2018,,,,,,,0,,
Logan Woodside,2018,L.Woodside,,0.0,1.0,0.0,0.0,0,,
Easton Stick,2019,E.Stick,,0.0,1.0,0.0,0.0,5,,
Clayton Thorson,2019,,,,,,,0,,
Trace McSorley,2019,T.McSorley,,0.0,1.0,0.0,0.0,3,,
Jordan Love,2020,J.Love,,,0.0,1.0,1.0,52,0.3687579672598163,-0.05768588549828994
Jacob Eason,2020,J.Eason,,,1.0,0.0,0.0,0,,
James Morgan,2020,J.Morgan,,,1.0,0.0,0.0,0,,
Jake Fromm,2020,J.Fromm,,,1.0,0.0,0.0,3,,
Cole McDonald,2020,,,,,,,0,,
Tommy Stevens,2020,,,,,,,0,,
Nate Stanley,2020,,,,,,,0,,
Kyle Trask,2021,K.Trask,,,1.0,0.0,0.0,0,,
Sam Ehlinger,2021,S.Ehlinger,,,1.0,0.0,0.0,4,,
Matt Corral,2022,,,,,,,0,,
Chris Oladokun,2022,C.Oladokun,,,1.0,0.0,0.0,3,,
Hendon Hooker,2023,H.Hooker,,,1.0,0.0,0.0,0,,
Jake Haener,2023,J.Haener,,,1.0,0.0,0.0,2,,
Stetson Bennett,2023,,,,,,,0,,
Tanner McKee,2023,T.McKee,,,1.0,0.0,0.0,2,,
Max Duggan,2023,,,,,,,0,,
Caleb Williams,2024,C.Williams,-0.08899852737487558,,1.0,0.0,1.0,34,0.09909065432265823,-0.1360138843161717
Jayden Daniels,2024,J.Daniels,0.11558989788144546,,1.0,1.0,0.0,26,0.15698452533559282,-0.00460716414849287
Drake Maye,2024,D.Maye,-0.08385738799991536,,1.0,1.0,0.0,28,0.35873455676827987,-0.21742970672679313
Michael Penix,2024,M.Penix,0.13351483442346285,,1.0,1.0,0.0,12,0.2073740207659187,-0.0228025465647247
J.J. McCarthy,2024,J.McCarthy,,,1.0,0.0,0.0,10,-0.1941907799829393,-0.1941907799829393
Bo Nix,2024,B.Nix,0.016559179333491558,,1.0,1.0,1.0,35,0.18611699056301123,-0.12574579381658796
Spencer Rattler,2024,S.Rattler,-0.3391495238594703,,1.0,0.0,0.0,15,-0.09908152654257266,-0.23147098386453518
Jordan Travis,2024,,,,,,,0,,
Joe Milton,2024,J.Milton,0.40657641833655367,,1.0,0.0,0.0,2,,
Devin Leary,2024,,,,,,,0,,
Michael Pratt,2024,,,,,,,0,,
Cam Ward,2025,C.Ward,-0.19175779303877188,,1.0,0.0,0.0,16,0.03735957975631403,-0.24208526628651422
Jaxson Dart,2025,J.Dart,-0.020801507936533688,,1.0,0.0,0.0,12,0.00012659660036767884,-0.09507756218901878
Tyler Shough,2025,T.Shough,-0.028104823345034394,,1.0,0.0,0.0,10,0.00199422042131982,-0.06585805164751588
Jalen Milroe,2025,,,,,,,0,,
Dillon Gabriel,2025,D.Gabriel,-0.2197832282949481,,1.0,0.0,0.0,6,-0.32795282216379534,-0.32795282216379534
Shedeur Sanders,2025,S.Sanders,-0.2988679217050534,,1.0,0.0,0.0,8,,
Kyle McCord,2025,,,,,,,0,,
Will Howard,2025,,,,,,,0,,
Riley Leonard,2025,R.Leonard,-0.2172049900006547,,1.0,0.0,0.0,2,,
Graham Mertz,2025,,,,,,,0,,
Tommy Mellott,2025,,,,,,,0,,
Cam Miller,2025,,,,,,,0,,
Kurtis Rourke,2025,,,,,,,0,,
Quinn Ewers,2025,Q.Ewers,-0.061012535094627354,,1.0,0.0,0.0,4,,
