player_name,leaf_name,draft_year,college,nfl_team,round,pick,rookie_games,rookie_attempts,rookie_leaf_mean,rookie_leaf_final,rookie_leaf_std,rookie_leaf_min,rookie_leaf_max,rookie_epa_mean,rookie_cpoe_mean
Josh Allen,J.Allen,2018,Wyoming,BUF,1,7,12,0.0,-0.12077628787780599,-0.1300433451152344,0.0654715080717807,-0.201921209045198,-0.0094065166967847,,
Josh Rosen,J.Rosen,2018,UCLA,ARI,1,10,14,0.0,-0.22983092721985163,-0.3393928136885026,0.08787905875095867,-0.3393928136885026,-0.0335074528349192,,
Lamar Jackson,L.Jackson,2018,Louisville,BAL,1,32,13,0.0,-0.14438973261167304,-0.0523321520049558,0.15424281569611828,-0.4395976804649366,0.0516160532516103,,
Kyle Lauletta,K.Lauletta,2018,Richmond,NYG,4,108,1,0.0,-1.6374914912567635,-1.6374914912567635,,-1.6374914912567635,-1.6374914912567635,,
Kyler Murray,K.Murray,2019,Oklahoma,ARI,1,1,16,0.0,-0.06635938794436225,-0.041229474459503,0.05069042539659654,-0.1657309538797362,0.0104929579112106,,
Daniel Jones,D.Jones,2019,Duke,NYG,1,6,13,0.0,-0.15195057666082834,-0.1427410977345314,0.0766208582168105,-0.22595400157964,-0.001318339298662,,
Dwayne Haskins,D.Haskins,2019,Ohio St.,WAS,1,15,9,0.0,-0.575462035980848,-0.2757263444291308,0.2052020615869648,-0.9849196877223798,-0.2757263444291308,,
Drew Lock,D.Lock,2019,Missouri,DEN,2,42,5,0.0,0.11672029985073204,0.1083338240710337,0.09813009598504623,-0.0281494052874783,0.2479354220940882,,
Will Grier,W.Grier,2019,West Virginia,CAR,3,100,2,0.0,-0.625739677371351,-0.9735059951877916,0.4918158431925623,-0.9735059951877916,-0.2779733595549106,,
Ryan Finley,R.Finley,2019,North Carolina St.,CIN,4,104,3,0.0,-0.5851547409654109,-0.5267350207556043,0.05127251689055349,-0.6226846495225791,-0.5267350207556043,,
Jarrett Stidham,J.Stidham,2019,Auburn,NWE,4,133,2,0.0,-1.2896721074958306,-1.2708448397878291,0.0266257773350847,-1.308499375203832,-1.2708448397878291,,
Gardner Minshew II,G.Minshew II,2019,Washington St.,JAX,6,178,8,0.0,-0.047913384561643985,-0.0498829755443527,0.01770963511079511,-0.069217045744413,-0.017518591041713,,
Joe Burrow,J.Burrow,2020,LSU,CIN,1,1,10,0.0,0.016987630172927887,0.0464460312720899,0.06777560514171102,-0.1403851028617896,0.0997647411521509,,
Tua Tagovailoa,T.Tagovailoa,2020,Alabama,MIA,1,5,10,0.0,-0.04739255582795317,-0.1221697905673052,0.07886299507262097,-0.1426406181034099,0.1227380834218906,,
Justin Herbert,J.Herbert,2020,Oregon,LAC,1,6,15,0.0,0.05736274479319219,0.0926148897445651,0.04622225881185409,-0.0546888940679463,0.1065274389617231,,
Jalen Hurts,J.Hurts,2020,Oklahoma,PHI,2,53,9,0.0,0.18905272946356633,-0.0331057519562528,0.2678445290119487,-0.0331057519562528,0.8786838401820454,,
Jake Luton,J.Luton,2020,Oregon St.,JAX,6,189,3,0.0,-0.0634226464190384,-0.2841820984594256,0.2212511559567622,-0.2841820984594256,0.1583169568609856,,
Ben DiNucci,B.DiNucci,2020,James Madison,DAL,7,231,2,0.0,-0.47294104046189556,-0.4582258952416941,0.02081035794269852,-0.487656185682097,-0.4582258952416941,,
Trevor Lawrence,T.Lawrence,2021,Clemson,JAX,1,1,17,0.0,-0.13985225633811768,-0.1259669319788985,0.06791282805477451,-0.266148626929145,0.071119181900086,,
Zach Wilson,Z.Wilson,2021,BYU,NYJ,1,2,13,0.0,-0.26796217002160594,-0.2251384276148509,0.07059636647882325,-0.4307728166345931,-0.1977638315700043,,
Trey Lance,T.Lance,2021,North Dakota St.,SFO,1,3,4,0.0,0.5353609772389583,0.3708353985363855,0.21459252906615514,0.3457260270678573,0.7911970037290358,,
Justin Fields,J.Fields,2021,Ohio St.,CHI,1,11,12,0.0,-0.24330742267598895,-0.2352140303408883,0.13231336439431554,-0.4329084067354065,0.1299069488432614,,
Mac Jones,M.Jones,2021,Alabama,NWE,1,15,18,0.0,-0.011478853988985032,0.0379586844497974,0.06311739041330203,-0.1487480023851415,0.1328863512400867,,
Kellen Mond,K.Mond,2021,Texas A&M,MIN,3,66,1,0.0,-0.5457317529980913,-0.5457317529980913,,-0.5457317529980913,-0.5457317529980913,,
Davis Mills,D.Mills,2021,Stanford,HOU,3,67,13,0.0,-0.18521261316392088,-0.1573644413578058,0.08895592641574451,-0.3209356673387602,0.049804200283909,,
Ian Book,I.Book,2021,Notre Dame,NOR,4,133,1,0.0,-1.16121555476473,-1.16121555476473,,-1.16121555476473,-1.16121555476473,,
Kenny Pickett,K.Pickett,2022,Pittsburgh,PIT,1,20,13,0.0,-0.1545109651395489,-0.1876131423408557,0.0789971454083985,-0.2966966582037609,-0.0274531135446133,,
Desmond Ridder,D.Ridder,2022,Cincinnati,ATL,3,74,4,0.0,-0.10740570413369106,-0.0235466978970623,0.0776678934014479,-0.2114537023651199,-0.0235466978970623,,
