player_name,college_college,draft_year,final_season,draft_round,draft_pick,pass_attempts,completions,passing_yards,passing_tds,interceptions,games_played,opponents,leaf_name,college_nfl,nfl_team,round,pick,rookie_games,rookie_attempts,rookie_leaf_mean,rookie_leaf_final,rookie_leaf_std,rookie_leaf_min,rookie_leaf_max,rookie_epa_mean,rookie_cpoe_mean,college_games_played,competition_tier
Trey Lance,North Dakota State,2021,2020,1,3,,,,,,10,,T.Lance,North Dakota St.,SFO,1,3,4,0.0,0.5353609772389583,0.3708353985363855,0.2145925290661551,0.3457260270678573,0.7911970037290358,,,10,Low
Justin Fields,Ohio State,2021,2020,1,11,,,,,,8,,J.Fields,Ohio St.,CHI,1,11,12,0.0,-0.2433074226759889,-0.2352140303408883,0.1323133643943155,-0.4329084067354065,0.1299069488432614,,,8,Low
Mac Jones,Alabama,2021,2020,1,15,,,,,,13,,M.Jones,Alabama,NWE,1,15,18,0.0,-0.011478853988985,0.0379586844497974,0.063117390413302,-0.1487480023851415,0.1328863512400867,,,13,High
Kellen Mond,Texas A&M,2021,2020,3,66,,,,,,10,,K.Mond,Texas A&M,MIN,3,66,1,0.0,-0.5457317529980913,-0.5457317529980913,,-0.5457317529980913,-0.5457317529980913,,,10,Low
Davis Mills,Stanford,2021,2020,3,67,,,,,,6,,D.Mills,Stanford,HOU,3,67,13,0.0,-0.1852126131639208,-0.1573644413578058,0.0889559264157445,-0.3209356673387602,0.049804200283909,,,6,Low
Ian Book,Notre Dame,2021,2020,4,133,,,,,,12,,I.Book,Notre Dame,NOR,4,133,1,0.0,-1.16121555476473,-1.16121555476473,,-1.16121555476473,-1.16121555476473,,,12,Medium
Kenny Pickett,Pittsburgh,2022,2021,1,20,,,,,,14,,K.Pickett,Pittsburgh,PIT,1,20,13,0.0,-0.1545109651395489,-0.1876131423408557,0.0789971454083985,-0.2966966582037609,-0.0274531135446133,,,14,High
Desmond Ridder,Cincinnati,2022,2021,3,74,,,,,,14,,D.Ridder,Cincinnati,ATL,3,74,4,0.0,-0.107405704133691,-0.0235466978970623,0.0776678934014479,-0.2114537023651199,-0.0235466978970623,,,14,High
Malik Willis,Liberty,2022,2021,3,86,,,,,,13,,M.Willis,Liberty,TEN,3,86,6,0.0,-0.4194787990680296,-0.3964534988491202,0.0720444198435107,-0.5218670141432779,-0.3192018965289119,,,13,High
Bailey Zappe,Western Kentucky,2022,2021,4,137,,,,,,14,,B.Zappe,Western Kentucky,NWE,4,137,4,0.0,-0.1165663874797361,-0.040938676818634,0.1580090487702463,-0.3468530721234217,0.0065308371612466,,,14,High
