attempts,completion_rate,epa_per_play,epa_std,success_rate,big_play_rate,explosive_rate,turnover_worthy_rate,sack_rate,high_leverage_epa,red_zone_epa,third_down_epa,opp_adj_epa,opp_adj_success_rate,opp_adj_big_play_rate,avg_opp_defense_sp,opp_sp_coverage,avg_team_offense_sp,team_adj_epa,full_adj_epa,player_name,rookie_leaf_mean,draft_pick
510,0.9705882352941176,0.4811605169334867,1.5261097498553688,0.5490196078431373,0.23529411764705882,0.10784313725490197,0.029411764705882353,0.029411764705882353,1.0667349249325553,0.702448048695662,0.835146795801142,0.8492215012292879,0.5395348837209303,0.3325581395348837,25.80604651162791,0.8431372549019608,41.3,0.18308157669319172,0.5577482655119947,Jared Goff,-0.349221070892647,1
368,0.9184782608695652,0.1113639192291252,1.650618907788701,0.45652173913043476,0.14945652173913043,0.09782608695652174,0.03804347826086957,0.08152173913043478,0.0,0.16114579737186432,0.0,0.2602291360517794,0.47335423197492166,0.2445141065830721,21.406269592476495,0.8668478260869565,36.89999999999999,0.04972398993580441,0.17983365766263823,Jarrett Stidham,-1.2896721074958306,133
575,0.9339130434782609,0.4049402197806731,1.563465437966442,0.591304347826087,0.20521739130434782,0.08521739130434783,0.034782608695652174,0.06608695652173913,0.0,0.7065179127233999,0.0,0.6644580546778067,0.5811808118081181,0.3210332103321033,22.628044280442808,0.9426086956521739,48.899999999999984,0.10791656857154942,0.3772819822569725,Joe Burrow,0.0169876301729278,1
339,0.8997050147492626,-0.023514671399530063,1.692647449725939,0.40412979351032446,0.19469026548672566,0.07669616519174041,0.04424778761061947,0.10029498525073746,0.0,0.08245252861696128,0.0,0.03720291012373279,0.4051094890510949,0.2956204379562044,28.771897810218977,0.8082595870206489,19.7,-0.016566086000968906,0.03837021448735116,Josh Allen,-0.1207762878778059,7
513,0.9083820662768031,0.22398920923645732,1.7535758909456234,0.5165692007797271,0.21832358674463936,0.09746588693957114,0.04678362573099415,0.09161793372319688,0.0,-0.18428255195048318,0.0,0.4150167072998606,0.5214592274678111,0.3261802575107296,28.118669527896998,0.9083820662768031,39.300000000000004,0.09194757039156574,0.2857641337393372,Josh Rosen,-0.2298309272198516,10
237,0.8818565400843882,0.19085215478506773,1.704078613199757,0.5654008438818565,0.20675105485232068,0.08860759493670886,0.05907172995780591,0.11814345991561181,0.0,0.00793144891136571,0.0,0.34240751944438313,0.5654008438818565,0.3333333333333333,21.44852320675105,1.0,45.3,0.061168115608614224,0.2127234802679296,Justin Fields,-0.2433074226759889,11
452,0.9026548672566371,0.17565206738304248,1.6295801613535705,0.48451327433628316,0.19911504424778761,0.07743362831858407,0.04424778761061947,0.09734513274336283,0.0,0.371129864551982,0.0,0.3072769495975422,0.46842105263157896,0.3026315789473684,26.431052631578947,0.8407079646017699,35.60000000000001,0.0818538634004978,0.22066224396397408,Justin Herbert,0.0573627447931921,6
295,0.9016949152542373,0.23395932892621574,1.7707694433259449,0.5152542372881356,0.2033898305084746,0.08813559322033898,0.04745762711864407,0.09830508474576272,0.0,0.3821600675582886,0.0,0.40670696788637317,0.5152542372881356,0.3423728813559322,25.3064406779661,1.0,37.69999999999999,0.10165532841844073,0.2744029673785981,Kellen Mond,-0.5457317529980913,66
467,0.8972162740899358,0.26542017135043217,1.778164933650237,0.5460385438972163,0.21413276231263384,0.08565310492505353,0.06638115631691649,0.10278372591006424,0.0,0.5852427756200071,0.0,0.41806717284459816,0.532258064516129,0.3617511520737327,26.91981566820276,0.9293361884368309,38.2,0.1133344131666345,0.2894029202515491,Kenny Pickett,-0.1545109651395489,20
294,0.9863945578231292,0.6127578584097395,1.498638022375741,0.6156462585034014,0.2585034013605442,0.1360544217687075,0.013605442176870748,0.013605442176870748,1.0152574082676644,0.8316663776198934,0.8518473380887234,0.9490462314244189,0.6079295154185022,0.3876651982378855,25.73348017621145,0.7721088435374149,44.5,0.20374198792123838,0.5958996056966653,Kevin Hogan,-0.4857403031757431,162
401,0.912718204488778,0.5438263336860777,1.8420670880726635,0.5785536159600998,0.2718204488778055,0.13466334164588528,0.03740648379052369,0.08728179551122195,0.0,0.4913187424341838,0.0,0.9760277779394495,0.5785536159600998,0.39900249376558605,26.10822942643391,1.0,54.0,0.10332700340035479,0.5355284476537266,Kyler Murray,-0.0663593879443622,1
457,0.9059080962800875,0.1854272624824188,1.7230158841995165,0.5010940919037199,0.1925601750547046,0.07439824945295405,0.05470459518599562,0.09409190371991247,0.0,-0.03942162295182546,0.0,0.33960268748945943,0.5,0.3097560975609756,22.130487804878047,0.8971553610503282,43.3,0.06499225550008779,0.2147321073640138,Lamar Jackson,-0.144389732611673,32
426,0.9389671361502347,0.4645395794524833,1.6760191347514,0.607981220657277,0.21830985915492956,0.07981220657276995,0.035211267605633804,0.06103286384976526,0.0,0.6591982841491699,0.0,0.7858877014189678,0.607981220657277,0.36384976525821594,22.8037558685446,1.0,46.8,0.13843279467684008,0.45978091664332454,Mac Jones,-0.011478853988985,15
383,0.8433420365535248,0.1159719233899608,1.9762834235764721,0.4699738903394256,0.2297650130548303,0.11488250652741515,0.08877284595300261,0.1566579634464752,0.0,0.49612083832422893,0.0,0.20212382818436328,0.4619718309859155,0.3126760563380282,28.112394366197176,0.9268929503916449,32.10000000000001,0.06013144227769468,0.16030458767163816,Malik Willis,-0.4194787990680296,86
