metric,projection,lower_ci,upper_ci,std,uncertainty,sample_size,passer_player_id,player_name,age,total_attempts,rank
epa_per_play,0.012530321954285606,-0.0005522659346800362,0.02561290984325125,0.0066749123923497715,low,305.0,00-0036971,T.Lawrence,24.0,305.0,21
epa_per_play,0.012076132949406721,0.001950421137477558,0.022201844761335885,0.00516627442738718,low,643.0,00-0034869,S.Darnold,27.0,643.0,22
epa_per_play,0.01135521596234269,0.0011320221257957955,0.021578409798889586,0.005216011068155407,low,627.0,00-0023459,A.Rodgers,40.0,627.0,23
epa_per_play,0.007396401411336909,-0.006401448726509601,0.021194251549183418,0.007039848816958981,low,254.0,00-0038579,A.O'Connell,25.0,254.0,24
epa_per_play,0.005559340318393999,-0.00850432852674926,0.01962300916353726,0.0071754730985240985,low,237.0,00-0034771,M.Rudolph,29.0,237.0,25
epa_per_play,0.004106341169894793,-0.009326614865967718,0.017539297205757302,0.006853674935774308,low,279.0,00-0036972,M.Jones,25.0,279.0,26
epa_per_play,0.0033411672612944864,-0.00865112251530308,0.015333457037892054,0.006118627623360031,low,401.0,00-0029263,R.Wilson,35.0,401.0,27
epa_per_play,0.00043251484125187366,-0.013171932682691529,0.014036962365195277,0.0069411722007412125,low,267.0,00-0026158,J.Flacco,39.0,267.0,28
epa_per_play,-0.017586468733323306,-0.02764087182834659,-0.0075320656383000215,0.00512989176042577,low,655.0,00-0039163,C.Stroud,22.0,655.0,29
epa_per_play,-0.019461353097016524,-0.032518111567126196,-0.006404594626906851,0.006661733875264912,low,307.0,00-0033077,D.Prescott,31.0,307.0,30
epa_per_play,-0.019985060454477874,-0.03184971682501421,-0.008120404083941537,0.006053507342034463,low,414.0,00-0039150,B.Young,23.0,414.0,31
epa_per_play,-0.03875302093062452,-0.05163315810827901,-0.025872883752970033,0.006571619315074852,low,321.0,00-0033662,C.Rush,30.0,321.0,32
epa_per_play,-0.04445973329499893,-0.0567308307121672,-0.032188635877830656,0.006260879033472617,low,374.0,00-0039851,D.Maye,22.0,374.0,33
epa_per_play,-0.050302717767005185,-0.06047073354272722,-0.04013470199128315,0.005187858478995559,low,636.0,00-0039918,C.Williams,22.0,636.0,34
epa_per_play,-0.05088059582320486,-0.06661776583432155,-0.03514342581208817,0.008029315913582838,medium,149.0,00-0035993,T.Huntley,26.0,149.0,35
epa_per_play,-0.05486534151356294,-0.06768411513505143,-0.04204656789207445,0.00654031080295421,low,326.0,00-0031503,J.Winston,30.0,326.0,36
epa_per_play,-0.057027608376490575,-0.07235313619434078,-0.041702080558640366,0.007819290527140303,medium,168.0,00-0027973,A.Dalton,36.0,168.0,37
epa_per_play,-0.06631585607171771,-0.07861914706607365,-0.05401256507736177,0.006277304629780309,low,371.0,00-0035710,D.Jones,27.0,371.0,38
epa_per_play,-0.07904224755269898,-0.09250333546447605,-0.06558115964092191,0.006868028197434451,low,277.0,00-0039164,A.Richardson,22.0,277.0,39
epa_per_play,-0.08535408807804018,-0.09808840768326108,-0.07261976847281928,0.006497221227363149,low,333.0,00-0035289,G.Minshew,28.0,333.0,40
epa_per_play,-0.09736582768606519,-0.11219589338089683,-0.08253576199123355,0.007566499084579775,medium,193.0,00-0035704,D.Lock,27.0,193.0,41
epa_per_play,-0.09839989096508897,-0.11350137907656493,-0.08329840285361301,0.007704982454062712,medium,179.0,00-0033119,J.Brissett,31.0,179.0,42
epa_per_play,-0.10898682047125093,-0.12159173485670943,-0.09638190608579242,0.006431196942844082,low,344.0,00-0039152,W.Levis,25.0,344.0,43
epa_per_play,-0.13390403879923712,-0.1477630770427339,-0.12004500055574034,0.007071067811865475,low,250.0,00-0033537,D.Watson,28.0,250.0,44
epa_per_play,-0.15980651109560887,-0.17366554933910563,-0.1459474728521121,0.007071067811865475,low,250.0,00-0039376,S.Rattler,23.0,250.0,45
epa_per_play,-0.21394939696976112,-0.23023225176626352,-0.1976665421732587,0.008307731634325669,medium,126.0,00-0038583,D.Thompson-Robinson,24.0,126.0,46
