passer_player_id,player_name,avg_defense_quality,toughest_defense,easiest_defense,games
00-0036945,J.Fields,-0.0356179363615258,0.03723605867506798,-0.13239375997553604,8
00-0039150,B.Young,-0.035960791857938594,0.11667602508205142,-0.12107229811779704,14
00-0039910,J.Daniels,-0.036112285103221446,0.11667602508205142,-0.1389401768978265,20
00-0033662,C.Rush,-0.036278351464756504,0.11667602508205142,-0.1389401768978265,11
00-0028118,T.Taylor,-0.03640517263303559,-0.005541834218108735,-0.06726851104796244,2
00-0034869,S.Darnold,-0.03857826505545049,0.0804415865902544,-0.2258004712426881,18
00-0039376,S.Rattler,-0.04038290744811083,0.03723605867506798,-0.1076716089314923,7
00-0034177,T.Boyle,-0.04209168121973759,0.014655640271169102,-0.13239375997553604,3
00-0033357,T.Hill,-0.04225121411486215,0.03650422677364591,-0.1389401768978265,3
00-0034855,B.Mayfield,-0.042728341999372754,0.11667602508205142,-0.1389401768978265,18
00-0036972,M.Jones,-0.045094617341787144,0.0804415865902544,-0.13239375997553604,10
00-0038579,A.O'Connell,-0.04560778786481692,0.046955806992596306,-0.2258004712426881,9
00-0036898,D.Mills,-0.04595960363927055,0.04089057521318355,-0.13249691566397256,4
00-0039152,W.Levis,-0.0459614883207309,0.0804415865902544,-0.2258004712426881,12
00-0034857,J.Allen,-0.046725907181519075,0.0804415865902544,-0.2258004712426881,19
00-0023459,A.Rodgers,-0.04734200859085706,0.0804415865902544,-0.2258004712426881,17
00-0036355,J.Herbert,-0.048427175057933446,0.0804415865902544,-0.1389401768978265,18
00-0029263,R.Wilson,-0.04951139956382144,0.11667602508205142,-0.13820393275588091,12
00-0036880,P.Sewell,-0.04952444055815222,-0.04952444055815222,-0.04952444055815222,1
00-0036212,T.Tagovailoa,-0.05002384312589193,0.0804415865902544,-0.2258004712426881,11
00-0028872,J.Hekker,-0.05048393704040646,0.03723605867506798,-0.13820393275588091,2
00-0033119,J.Brissett,-0.050497774376054946,0.03650422677364591,-0.13820393275588091,7
00-0039732,B.Nix,-0.05463688553022635,0.03650422677364591,-0.1389401768978265,18
00-0038998,J.Haener,-0.05487459802371215,0.03723605867506798,-0.1389401768978265,6
00-0031280,D.Carr,-0.05621887758587272,0.11667602508205142,-0.1389401768978265,10
00-0038102,K.Pickett,-0.056966136725875895,-0.010391493468109608,-0.11717158745156894,5
00-0032268,M.Mariota,-0.057883120862113994,-0.010391493468109608,-0.1389401768978265,3
00-0038476,T.DeVito,-0.05810426644316906,-0.008536923954845819,-0.1076716089314923,2
00-0039851,D.Maye,-0.05830799019514115,0.0804415865902544,-0.2258004712426881,13
00-0036389,J.Hurts,-0.058322175996009695,0.046955806992596306,-0.2258004712426881,19
00-0038122,D.Ridder,-0.05864151087129127,0.03723605867506798,-0.13820393275588091,5
00-0039917,M.Penix,-0.05943625797654125,0.03723605867506798,-0.1389401768978265,5
00-0038128,M.Willis,-0.06232564294723947,0.11667602508205142,-0.2258004712426881,6
00-0038400,T.McKee,-0.06378154045983928,-0.010391493468109608,-0.11717158745156894,2
00-0039398,J.Milton,-0.06726851104796244,-0.06726851104796244,-0.06726851104796244,1
00-0038583,D.Thompson-Robinson,-0.0677920088490418,0.0007839391623355001,-0.13820393275588091,6
00-0034521,A.Lazard,-0.06867631802793518,-0.06867631802793518,-0.06867631802793518,1
00-0033307,K.Bourne,-0.06867631802793518,-0.06867631802793518,-0.06867631802793518,1
00-0039163,C.Stroud,-0.07005171759836039,0.04089057521318355,-0.2258004712426881,19
00-0033319,N.Mullens,-0.07281777094789482,-0.04952444055815222,-0.09611110133763741,2
00-0034348,C.Sutton,-0.07373855042633616,-0.008536923954845819,-0.1389401768978265,2
00-0033537,D.Watson,-0.07568918470285287,0.11667602508205142,-0.2258004712426881,7
00-0027973,A.Dalton,-0.07715826089221142,0.0007839391623355001,-0.13820393275588091,6
00-0034418,C.Wilson,-0.0774664165418869,-0.06197160860422593,-0.0929612244795479,2
00-0031800,T.Heinicke,-0.08193050171613753,-0.005622980552947715,-0.13249691566397256,3
00-0034771,M.Rudolph,-0.08525211693982768,0.0804415865902544,-0.2258004712426881,8
00-0035685,D.Montgomery,-0.08832818731549763,-0.08369515015144736,-0.0929612244795479,2
00-0031237,T.Bridgewater,-0.0929612244795479,-0.0929612244795479,-0.0929612244795479,1
00-0037240,Ja.Williams,-0.0929612244795479,-0.0929612244795479,-0.0929612244795479,1
00-0032399,M.Killebrew,-0.0929612244795479,-0.0929612244795479,-0.0929612244795479,1
00-0034844,S.Barkley,-0.0929612244795479,-0.0929612244795479,-0.0929612244795479,1
00-0033869,M.Trubisky,-0.09369744928345052,-0.005541834218108735,-0.2258004712426881,5
00-0035993,T.Huntley,-0.09380292386979985,-0.024317692220405848,-0.13249691566397256,5
00-0033897,J.Mixon,-0.09611110133763741,-0.09611110133763741,-0.09611110133763741,1
00-0035719,D.Samuel,-0.09611110133763741,-0.09611110133763741,-0.09611110133763741,1
00-0026158,J.Flacco,-0.09778122806801702,0.04089057521318355,-0.2258004712426881,7
00-0032943,R.Dixon,-0.10310434397289447,-0.06726851104796244,-0.1389401768978265,2
00-0038550,H.Hooker,-0.10662903828741503,-0.010391493468109608,-0.2258004712426881,3
00-0035156,J.Fox,-0.1076716089314923,-0.1076716089314923,-0.1076716089314923,1
00-0036309,D.Mooney,-0.1076716089314923,-0.1076716089314923,-0.1076716089314923,1
00-0034162,J.Scott,-0.12107229811779704,-0.12107229811779704,-0.12107229811779704,1
00-0034960,J.Meyers,-0.12107229811779704,-0.12107229811779704,-0.12107229811779704,1
00-0039491,J.Coker,-0.12107229811779704,-0.12107229811779704,-0.12107229811779704,1
00-0038543,J.Smith-Njigba,-0.12107229811779704,-0.12107229811779704,-0.12107229811779704,1
00-0036322,J.Jefferson,-0.13239375997553604,-0.13239375997553604,-0.13239375997553604,1
00-0034401,M.White,-0.13249691566397256,-0.13249691566397256,-0.13249691566397256,1
00-0038582,C.Tune,-0.13249691566397256,-0.13249691566397256,-0.13249691566397256,1
00-0036928,K.Trask,-0.1389401768978265,-0.1389401768978265,-0.1389401768978265,1
00-0039890,A.Mitchell,-0.2258004712426881,-0.2258004712426881,-0.2258004712426881,1
