passer_player_id,player_name,situation_type,situation,attempts,qb_epa,qb_epa_vs_avg,cpoe,cpoe_vs_avg,success,success_vs_avg
00-0027973,A.Dalton,time,4th_quarter,34,-0.58569306,-0.5968234,-12.344344139099121,-12.397231101989746,0.2647059,-0.17150009
00-0027973,A.Dalton,time,normal,114,-0.10986592,-0.1545206,-0.29976269602775574,-1.8846246004104614,0.4122807,-0.043898165
00-0027973,A.Dalton,time,two_minute,20,0.6697694,0.60005814,11.799895286560059,12.70751953125,0.65,0.21729302
00-0027973,A.Dalton,depth,short,133,-0.12260853,-0.2533657,-1.416730523109436,-2.755910634994507,0.42105263,-0.07672721
00-0027973,A.Dalton,depth,deep,27,0.33526477,-0.049180597,0.17060470581054688,0.7802642583847046,0.4814815,0.06520516
00-0027973,A.Dalton,air_depth,short,96,-0.16411377,-0.05896516,-2.3280999660491943,-5.088531017303467,0.38541666,-0.072553545
00-0027973,A.Dalton,air_depth,medium,30,0.1757259,-0.23460439,-3.2833445072174072,-3.146348476409912,0.53333336,-0.014472306
00-0027973,A.Dalton,air_depth,behind_los,29,-0.5402035,-0.4198596,-0.3220215439796448,1.3717412948608398,0.3448276,-0.023468703
00-0027973,A.Dalton,air_depth,deep,13,0.54662746,0.19555119,9.56093692779541,10.117335319519043,0.46153846,0.10787994
00-0027973,A.Dalton,pressure,clean_pocket,139,-0.076784685,-0.3246267,-0.6073377728462219,-2.868166923522949,0.43165466,-0.08831379
00-0027973,A.Dalton,pressure,under_pressure,29,-0.28861454,0.15132862,-4.777698516845703,-1.377547264099121,0.31034482,0.02498418
00-0027973,A.Dalton,play_action,standard_dropback,168,-0.11335055,-0.15289055,-1.1419991254806519,-2.117720603942871,0.4107143,-0.038201034
00-0033077,D.Prescott,down,1_down,114,0.017098501,-0.075046465,-2.415869951248169,-3.430680751800537,0.40350878,-0.076713294
00-0033077,D.Prescott,down,2_down,104,0.1340344,0.054388694,0.5214354395866394,-0.6192547678947449,0.50961536,0.04526195
00-0033077,D.Prescott,down,3rd_medium,40,-0.22107804,-0.220976,-1.6688140630722046,-3.3742716312408447,0.35,-0.07828078
00-0033077,D.Prescott,down,3rd_long,31,-0.3570637,-0.25470763,5.569477081298828,4.8648810386657715,0.22580644,-0.0804697
00-0033077,D.Prescott,down,4th_down,10,-0.6771081,-0.68298316,-18.937503814697266,-20.534652709960938,0.3,-0.16311476
00-0033077,D.Prescott,field,midfield,242,0.06480032,0.024557345,-0.8851794004440308,-1.8344194889068604,0.446281,-0.010543525
00-0033077,D.Prescott,field,own_territory,26,-0.42265305,-0.50037944,-0.4700849652290344,-0.600695013999939,0.30769232,-0.14840803
00-0033077,D.Prescott,field,red_zone,29,-0.3473866,-0.40583712,-3.8334991931915283,-6.259451389312744,0.27586207,-0.1281513
00-0033077,D.Prescott,script,close_game,161,0.048680007,0.0014066808,4.400792598724365,3.2214839458465576,0.47204968,0.020842731
00-0033077,D.Prescott,script,leading_big,13,-0.5423516,-0.6936681,-23.02910041809082,-21.56629180908203,0.23076923,-0.22990493
00-0033077,D.Prescott,script,trailing_small,45,0.16939205,0.14149676,-5.2654337882995605,-6.6359639167785645,0.4,-0.05464062
00-0033077,D.Prescott,script,trailing_big,84,-0.18645759,-0.09001291,-5.62890625,-3.925916910171509,0.3452381,-0.059629172
00-0033077,D.Prescott,time,normal,195,0.018693551,-0.025961127,2.356485605239868,0.7716237306594849,0.41025642,-0.04592246
00-0033077,D.Prescott,time,two_minute,33,-0.30481118,-0.37452248,-3.1327764987945557,-2.2251522541046143,0.45454547,0.021838516
00-0033077,D.Prescott,time,4th_quarter,79,-0.03916127,-0.05029162,-7.710073947906494,-7.762960433959961,0.4050633,-0.031142682
00-0033077,D.Prescott,depth,short,233,0.0822755,-0.04848165,-0.4343441426753998,-1.773524284362793,0.4635193,-0.03426054
00-0033077,D.Prescott,depth,deep,51,0.13273926,-0.25170612,-2.7914540767669678,-2.1817946434020996,0.37254903,-0.04372731
00-0033077,D.Prescott,air_depth,short,172,-0.16982827,-0.06467965,-1.4586923122406006,-4.219123363494873,0.39534885,-0.062621355
