attempts,epa_per_play_raw,total_epa_raw,success_rate_raw,epa_per_play_adj,avg_opponent_sp_defense,sos_percentile,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
375.0,0.4432805915150578,166.23022181814667,0.5333333333333333,0.4432805915150578,,,0.216,0.8889288676167001,79.0,,0.0,0.8920293643203637,0.2266666666666666,0.0373333333333333,Taylen Green,2026,Arkansas,1
374.0,0.3281090888857301,122.86329696234316,0.5034395780784223,0.3281090888857301,26.11125,50.0,0.2525510204081632,,0.0,0.6126343164688501,43.5,0.6126343164688501,0.1159997706947947,0.0816756477872047,Ryan Mallett,2011,Arkansas,2
369.0,0.0912604261964676,33.33952635899186,0.447593130585077,0.0912604261964676,27.57103966346154,50.0,0.2004192255359835,,0.0,0.0123680250512229,36.0,0.0123680250512229,0.0977016143860552,0.0515647409259735,Jarrett Stidham,2019,Auburn,2
368.6666666666667,0.2573645452098959,93.40794054170448,0.496996578935835,0.2573645452098959,27.835101041568617,50.0,0.2249156737975358,,0.0,0.5197089426503798,39.66666666666666,0.5197089426503798,0.1068171575584378,0.077419905011975,Trevor Lawrence,2021,Clemson,3
368.0,0.5635605804076607,207.39029359001916,0.6032608695652174,0.5635605804076607,,,0.2391304347826087,0.7220415342958607,89.0,,0.0,0.8284372339200492,0.2744565217391304,0.0570652173913043,Will Howard,2026,Ohio State,1
367.0,0.2748237006743458,99.17841481301002,0.4878683774976606,0.2748237006743458,26.10770833333333,50.0,0.1968870347407531,,0.0,0.0636478661161242,41.75,0.0636478661161242,0.1128688182550851,0.0589982963018623,Ryan Lindley,2012,San Diego State,4
366.6666666666667,0.1827506279658287,75.15804791698854,0.4980564676826359,0.1827506279658287,27.60651041666667,50.0,0.2287607233401626,,0.0,-0.1162943012199336,42.0,-0.1162943012199336,0.1100342398473239,0.0561011478768488,Josh Rosen,2018,UCLA,3
366.0,0.2523349890243809,92.35460598292345,0.5027322404371585,0.2523349890243809,,,0.1557377049180328,0.3879724854116241,83.0,,0.0,0.2392148892482172,0.2459016393442623,0.0245901639344262,Dylan Raiola,2026,Nebraska,1
365.3333333333333,0.3576937588973286,122.63568474849065,0.5289142339434081,0.3576937588973286,24.338082182025357,50.0,0.2167934434745503,,0.0,0.5227659834020328,44.66666666666666,0.5227659834020328,0.1201306110332928,0.0762820691211893,Brady Quinn,2007,Notre Dame,3
364.0,0.2279059445757475,82.72985788099636,0.4820936639118457,0.2279059445757475,,,0.1373626373626373,0.7215972995877193,95.0,,0.0,0.602115805783233,0.2774725274725275,0.0192307692307692,Cole Snyder,2026,Eastern Michigan,1
363.75,0.0525305216107841,30.188966048124712,0.4603964497195351,0.0525305216107841,27.68161358173077,50.0,0.1979118749479982,,0.0,-0.1196425057367873,41.25,-0.1196425057367873,0.1140451945212922,0.0667485190190362,Drew Lock,2019,Missouri,4
360.6666666666667,0.0589963703560793,26.961208403110504,0.4664058615519305,0.0589963703560793,27.60651041666667,50.0,0.2277097926432306,,0.0,0.0572999579587304,44.0,0.0572999579587304,0.119640761116316,0.0616722774016198,Lamar Jackson,2018,Louisville,3
360.25,0.2671585755281519,97.82443626224996,0.5134008084844357,0.2671585755281519,26.648716397849466,50.0,0.1977854835915059,,0.0,0.127540485733072,53.25,0.127540485733072,0.1472309823201019,0.0791562122201772,Matt Barkley,2013,USC,4
360.0,0.4314252979419961,154.2064963428356,0.529508146420791,0.4314252979419961,26.715861217930325,50.0,0.1915985854006205,0.9452560577680912,79.66666666666667,,0.0,0.9045282287312744,0.2279235411520332,0.0448570547552971,Paxton DeLaurent,2026,Southeast Missouri State,3
358.3333333333333,0.5156855214381023,186.17902565180592,0.5399669744969726,0.5156855214381023,26.715861217930325,50.0,0.2438840906371101,0.6994924964327206,74.0,,0.0,0.6324951563149983,0.2426654731048219,0.0544255966100881,Jaxson Dart,2026,Ole Miss,3
358.0,0.3514877567521761,126.31911779366244,0.5080974779853523,0.3514877567521761,26.715861217930325,50.0,0.216574537150562,0.6887429623136997,84.0,,0.0,0.6070798275489172,0.2640414612391779,0.0316862595015163,Quinn Ewers,2026,Texas,3
357.0,0.18357245616711,73.31153289182112,0.4834547299793121,0.18357245616711,27.685114843676462,50.0,0.203106994769838,,0.0,0.3098047850723553,46.0,0.3098047850723553,0.1329339741191988,0.0661170593255818,Sam Ehlinger,2021,Texas,4
