attempts,epa_per_play,total_epa,success_rate,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
360,0.2903362250369456,104.52104101330042,0.525,0.225,,0,-0.3112205790013683,49,-0.3112205790013683,0.1361111111111111,0.058333333333333334,Tyler Wilson,2013,Arkansas,5
314,0.3865456751957061,121.37534201145172,0.5414012738853503,0.21337579617834396,,0,0.22917542586455475,37,0.22917542586455475,0.1178343949044586,0.08917197452229299,AJ McCarron,2014,Alabama,3
319,0.4319140317391452,137.78057612478733,0.567398119122257,0.219435736677116,,0,0.16445876517385807,53,0.16445876517385807,0.16614420062695925,0.08463949843260188,Aaron Murray,2014,Georgia,4
356,0.4961092833722575,176.61490488052368,0.6123595505617978,0.22752808988764045,,0,0.4626295116712462,53,0.4626295116712462,0.14887640449438203,0.0702247191011236,Blake Bortles,2014,UCF,3
585,0.2946605813426849,172.37644008547068,0.5452991452991452,0.20341880341880342,,0,0.1703356102893227,95,0.1703356102893227,0.1623931623931624,0.08205128205128205,Derek Carr,2014,Fresno State,4
88,0.3247639878906987,28.579230934381485,0.5,0.20454545454545456,,0,1.4113556543986003,9,1.4113556543986003,0.10227272727272728,0.10227272727272728,Jimmy Garoppolo,2014,Eastern Illinois,3
378,0.6304749007184038,238.31951247155666,0.6216931216931217,0.2698412698412698,,0,0.6708290732425192,46,0.6708290732425192,0.12169312169312169,0.09788359788359788,Johnny Manziel,2014,Texas A&M,2
366,0.2809686075712814,102.83451037108898,0.4890710382513661,0.20765027322404372,,0,0.45393263612474716,35,0.45393263612474716,0.09562841530054644,0.04371584699453552,Logan Thomas,2014,Virginia Tech,4
407,0.4697393189374293,191.18390280753374,0.5921375921375921,0.2285012285012285,,0,0.4801767251708291,44,0.4801767251708291,0.10810810810810811,0.07862407862407862,Teddy Bridgewater,2014,Louisville,3
461,0.19071333464275472,87.91884727030993,0.5509761388286334,0.22125813449023862,,0,0.24331885835398798,46,0.24331885835398798,0.09978308026030369,0.05422993492407809,Jameis Winston,2015,Florida State,2
461,0.34286945192001905,158.06281733512878,0.527114967462039,0.25162689804772237,,0,0.06065283715724945,72,0.06065283715724945,0.1561822125813449,0.0911062906724512,Marcus Mariota,2015,Oregon,3
454,-0.03884728974970427,-17.636669546365738,0.45374449339207046,0.16079295154185022,,0,-0.5303937915771727,63,-0.5303937915771727,0.13876651982378854,0.03524229074889868,Sean Mannion,2015,Oregon State,4
179,-0.01714584814103622,-3.0691068172454834,0.46368715083798884,0.2122905027932961,,0,-0.44770673343113493,14,-0.44770673343113493,0.0782122905027933,0.0446927374301676,Cardale Jones,2016,Ohio State,3
29,-0.0413851563272805,-1.2001695334911344,0.5172413793103449,0.13793103448275862,,0,-1.223363447189331,5,-1.223363447189331,0.1724137931034483,0.0,Carson Wentz,2016,North Dakota State,1
456,0.15121340781058135,68.9533139616251,0.48464912280701755,0.18640350877192982,,0,0.15593483401279823,51,0.15593483401279823,0.1118421052631579,0.06359649122807018,Cody Kessler,2016,USC,4
377,0.2853384939879574,107.57261223345995,0.493368700265252,0.2413793103448276,,0,0.2601878704168858,39,0.2601878704168858,0.10344827586206896,0.0610079575596817,Connor Cook,2016,Michigan State,4
473,0.19490569302240388,92.19039279959703,0.507399577167019,0.16279069767441862,,0,0.4158377746740977,48,0.4158377746740977,0.1014799154334038,0.05496828752642706,Dak Prescott,2016,Mississippi State,4
401,0.0094401940443272,3.7855178117752075,0.4239401496259352,0.13216957605985039,,0,0.06036820051805029,53,0.06036820051805029,0.13216957605985039,0.04987531172069826,Jacoby Brissett,2016,NC State,2
512,0.3335322438797448,170.76850886642933,0.552734375,0.21875,,0,0.42121192663908,80,0.42121192663908,0.15625,0.0859375,Jared Goff,2016,California,3
308,0.3732939265765153,114.97452938556671,0.5454545454545454,0.21428571428571427,,0,0.2246262611344803,43,0.2246262611344803,0.1396103896103896,0.08766233766233766,Kevin Hogan,2016,Stanford,4
427,0.3073983177263508,131.25908166915178,0.5081967213114754,0.22482435597189696,,0,0.05832647283871969,48,0.05832647283871969,0.11241217798594848,0.06557377049180328,Paxton Lynch,2016,Memphis,3
305,-0.36021149490700394,-109.8645059466362,0.3639344262295082,0.14754098360655737,,0,-0.12190850824117659,32,-0.12190850824117659,0.10491803278688525,0.05573770491803279,C.J. Beathard,2017,Iowa,4
360,0.05458341474760282,19.650029309137015,0.4583333333333333,0.21666666666666667,,0,-0.16162763118743897,50,-0.16162763118743897,0.1388888888888889,0.07222222222222222,DeShone Kizer,2017,Notre Dame,2
562,-0.06601332940718033,-37.099491126835346,0.5,0.2206405693950178,,0,0.07527465879181285,81,0.07527465879181285,0.14412811387900357,0.07473309608540925,Deshaun Watson,2017,Clemson,3
299,0.19761470064869693,59.08679549396038,0.4782608695652174,0.24414715719063546,,0,0.08766020428050648,33,0.08766020428050648,0.11036789297658862,0.09698996655518395,Nathan Peterman,2017,Pittsburgh,2
