attempts,epa_per_play,total_epa,success_rate,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
24,0.6310259203116099,15.144622087478638,0.625,0.2916666666666667,,0,2.936228513717652,1,2.936228513717652,0.041666666666666664,0.16666666666666666,Brandon Weeden,2012,Oklahoma State,4
92,0.3450972862217737,31.748950332403183,0.5217391304347826,0.18478260869565216,,0,0.23479807376861575,16,0.23479807376861575,0.17391304347826086,0.05434782608695652,Brock Osweiler,2012,Arizona State,3
329,0.3484070624046503,114.62592353112996,0.5349544072948328,0.1945288753799392,,0,0.40407229914809717,33,0.40407229914809717,0.10030395136778116,0.060790273556231005,Kirk Cousins,2012,Michigan State,4
513,0.43679535043286066,224.07601477205753,0.5672514619883041,0.17348927875243664,,0,0.32537934563376686,55,0.32537934563376686,0.10721247563352826,0.05263157894736842,Nick Foles,2012,Arizona,3
396,0.46927764497208174,185.83394740894437,0.5732323232323232,0.2196969696969697,,0,0.194686553417108,39,0.194686553417108,0.09848484848484848,0.09343434343434344,Robert Griffin III,2012,Baylor,3
310,0.5080847397146205,157.50626931153238,0.6,0.24838709677419354,,0,0.9390998421883097,49,0.9390998421883097,0.15806451612903225,0.10967741935483871,Russell Wilson,2012,Wisconsin,1
353,0.42515948301619155,150.08129750471562,0.5184135977337111,0.23796033994334279,,0,-0.05879656646562663,46,-0.05879656646562663,0.13031161473087818,0.07932011331444759,Ryan Lindley,2012,San Diego State,4
475,0.25720113043722354,122.17053695768118,0.5284210526315789,0.17473684210526316,,0,0.4224229896510089,54,0.4224229896510089,0.11368421052631579,0.061052631578947365,Ryan Tannehill,2012,Texas A&M,4
309,0.19873134075727278,61.40798429399729,0.5372168284789643,0.19093851132686085,,0,-0.08235554695129396,40,-0.08235554695129396,0.12944983818770225,0.061488673139158574,EJ Manuel,2013,Florida State,2
491,0.27815558352031555,136.57439150847495,0.5560081466395111,0.15885947046843177,,0,-0.050024224364239235,69,-0.050024224364239235,0.14052953156822812,0.09164969450101833,Geno Smith,2013,West Virginia,4
