game_id,game_date,season,season_type,week,passer_player_id,passer_player_name,posteam,defteam,qb_epa_mean,qb_epa_sum,qb_epa_count,cpoe_mean,success_mean,attempts
2006_06_PHI_NO,2006-10-15,2006,REG,6,00-0011022,D.McNabb,PHI,NO,0.115084,4.027927,35,5.562979,0.428571,35.000000
2006_06_PHI_NO,2006-10-15,2006,REG,6,00-0020531,D.Brees,NO,PHI,0.168543,6.236081,37,6.846300,0.594595,37.000000
2006_06_SD_SF,2006-10-15,2006,REG,6,00-0022942,P.Rivers,LAC,SF,0.694660,27.091739,39,12.390085,0.615385,39.000000
2006_06_SD_SF,2006-10-15,2006,REG,6,00-0023436,A.Smith,SF,LAC,-0.084647,-3.047300,36,2.601496,0.388889,36.000000
2006_06_SEA_STL,2006-10-15,2006,REG,6,00-0007091,M.Hasselbeck,SEA,LA,0.341103,12.620797,37,-1.711570,0.459459,37.000000
2006_06_SEA_STL,2006-10-15,2006,REG,6,00-0019599,M.Bulger,LA,SEA,0.177908,7.827944,44,6.619275,0.500000,44.000000
2006_06_TEN_WAS,2006-10-15,2006,REG,6,00-0002110,M.Brunell,WAS,TEN,-0.023226,-0.719996,31,-8.470834,0.354839,31.000000
2006_06_TEN_WAS,2006-10-15,2006,REG,6,00-0024218,V.Young,TEN,WAS,0.123259,3.574515,29,-2.311338,0.344828,29.000000
2006_07_ARI_OAK,2006-10-22,2006,REG,7,00-0020405,M.Tuiasosopo,LV,ARI,-0.107155,-0.428619,4,-19.390231,0.500000,4.000000
2006_07_ARI_OAK,2006-10-22,2006,REG,7,00-0023504,A.Walter,LV,ARI,0.034070,1.192437,35,1.167010,0.485714,35.000000
2006_07_ARI_OAK,2006-10-22,2006,REG,7,00-0024225,M.Leinart,ARI,LV,-0.385033,-13.476147,35,-21.061937,0.285714,35.000000
2006_07_CAR_CIN,2006-10-22,2006,REG,7,00-0004161,J.Delhomme,CAR,CIN,0.039696,1.468746,37,1.665119,0.486486,37.000000
2006_07_CAR_CIN,2006-10-22,2006,REG,7,00-0021429,C.Palmer,CIN,CAR,0.240133,9.845456,41,0.192021,0.487805,41.000000
2006_07_DEN_CLE,2006-10-22,2006,REG,7,00-0013042,J.Plummer,DEN,CLE,-0.102145,-4.392227,43,-7.792480,0.372093,43.000000
2006_07_DEN_CLE,2006-10-22,2006,REG,7,00-0023502,C.Frye,CLE,DEN,-0.392825,-14.927359,38,-5.094032,0.342105,38.000000
2006_07_DET_NYJ,2006-10-22,2006,REG,7,00-0009311,J.Kitna,DET,NYJ,0.310851,11.501481,37,-2.355947,0.513514,37.000000
2006_07_DET_NYJ,2006-10-22,2006,REG,7,00-0019559,C.Pennington,NYJ,DET,0.122600,2.942401,24,8.634366,0.500000,24.000000
2006_07_GB_MIA,2006-10-22,2006,REG,7,00-0005106,B.Favre,GB,MIA,0.093483,3.458860,37,-3.739977,0.486486,37.000000
2006_07_GB_MIA,2006-10-22,2006,REG,7,00-0021141,J.Harrington,MIA,GB,-0.152689,-9.924811,65,-3.603319,0.446154,65.000000
2006_07_JAX_HOU,2006-10-22,2006,REG,7,00-0020608,D.Carr,HOU,JAX,0.154267,5.399340,35,4.372849,0.428571,35.000000
2006_07_JAX_HOU,2006-10-22,2006,REG,7,00-0022177,B.Leftwich,JAX,HOU,-0.438785,-12.724764,29,-9.215798,0.275862,29.000000
2006_07_MIN_SEA,2006-10-22,2006,REG,7,00-0007091,M.Hasselbeck,SEA,MIN,0.083227,1.581320,19,-16.731356,0.315789,19.000000
2006_07_MIN_SEA,2006-10-22,2006,REG,7,00-0008442,B.Johnson,MIN,SEA,-0.009705,-0.271744,28,0.885005,0.357143,28.000000
2006_07_MIN_SEA,2006-10-22,2006,REG,7,00-0022055,S.Wallace,SEA,MIN,-0.401223,-10.833027,27,-8.269187,0.407407,27.000000
2006_07_NE_BUF,2006-10-22,2006,REG,7,00-0019596,T.Brady,NE,BUF,0.370518,11.486044,31,6.734873,0.451613,31.000000
2006_07_NE_BUF,2006-10-22,2006,REG,7,00-0022912,J.Losman,BUF,NE,-0.219179,-5.917830,27,5.219996,0.444444,27.000000
2006_07_NYG_DAL,2006-10-23,2006,REG,7,00-0001361,D.Bledsoe,DAL,NYG,-0.280708,-4.491333,16,8.388018,0.375000,16.000000
2006_07_NYG_DAL,2006-10-23,2006,REG,7,00-0021678,T.Romo,DAL,NYG,-0.394402,-10.648867,27,-1.249539,0.518519,27.000000
2006_07_NYG_DAL,2006-10-23,2006,REG,7,00-0022803,E.Manning,NYG,DAL,0.204070,5.713950,28,-3.556099,0.428571,28.000000
2006_07_PHI_TB,2006-10-22,2006,REG,7,00-0011022,D.McNabb,PHI,TB,-0.155853,-5.454863,35,0.484700,0.457143,35.000000
2006_07_PHI_TB,2006-10-22,2006,REG,7,00-0024408,B.Gradkowski,TB,PHI,-0.184929,-5.178001,28,-9.144354,0.321429,28.000000
2006_07_PIT_ATL,2006-10-22,2006,REG,7,00-0000865,C.Batch,PIT,ATL,0.900413,11.705369,13,7.874565,0.538462,13.000000
2006_07_PIT_ATL,2006-10-22,2006,REG,7,00-0020245,M.Vick,ATL,PIT,0.273907,8.491125,31,0.110357,0.451613,31.000000
2006_07_PIT_ATL,2006-10-22,2006,REG,7,00-0022924,B.Roethlisberger,PIT,ATL,0.778119,19.452970,25,18.141231,0.640000,25.000000
2006_07_SD_KC,2006-10-22,2006,REG,7,00-0007835,D.Huard,KC,LAC,0.019856,0.575824,29,,0.413793,29.000000
2006_07_SD_KC,2006-10-22,2006,REG,7,00-0022942,P.Rivers,LAC,KC,0.029087,1.337986,46,,0.413043,46.000000
2006_07_WAS_IND,2006-10-22,2006,REG,7,00-0002110,M.Brunell,WAS,IND,0.156157,6.246299,40,11.560119,0.450000,40.000000
2006_07_WAS_IND,2006-10-22,2006,REG,7,00-0010346,P.Manning,IND,WAS,0.618683,21.653908,35,12.424165,0.657143,35.000000
2006_08_ARI_GB,2006-10-29,2006,REG,8,00-0005106,B.Favre,GB,ARI,0.323811,8.095279,25,1.358537,0.560000,25.000000
2006_08_ARI_GB,2006-10-29,2006,REG,8,00-0024225,M.Leinart,ARI,GB,-0.209617,-8.175061,39,-22.154835,0.358974,39.000000
2006_08_ATL_CIN,2006-10-29,2006,REG,8,00-0020245,M.Vick,ATL,CIN,0.759623,22.788679,30,16.532728,0.600000,30.000000
2006_08_ATL_CIN,2006-10-29,2006,REG,8,00-0021429,C.Palmer,CIN,ATL,0.262062,9.958349,38,8.069694,0.526316,38.000000
2006_08_ATL_CIN,2006-10-29,2006,REG,8,00-0022787,M.Schaub,ATL,CIN,-0.947000,-0.947000,1,,0.000000,1.000000
2006_08_BAL_NO,2006-10-29,2006,REG,8,00-0011024,S.McNair,BAL,NO,0.470088,10.812033,23,21.462752,0.521739,23.000000
2006_08_BAL_NO,2006-10-29,2006,REG,8,00-0020531,D.Brees,NO,BAL,-0.073649,-3.535166,48,-4.070195,0.395833,48.000000
2006_08_DAL_CAR,2006-10-29,2006,REG,8,00-0004161,J.Delhomme,CAR,DAL,-0.373803,-12.709288,34,-5.213568,0.382353,34.000000
2006_08_DAL_CAR,2006-10-29,2006,REG,8,00-0021678,T.Romo,DAL,CAR,0.218581,8.524649,39,8.298027,0.538462,39.000000
2006_08_HOU_TEN,2006-10-29,2006,REG,8,00-0020480,S.Rosenfels,HOU,TEN,0.432685,11.249802,26,12.023443,0.615385,26.000000
2006_08_HOU_TEN,2006-10-29,2006,REG,8,00-0020608,D.Carr,HOU,TEN,-0.657952,-16.448800,25,2.898037,0.360000,25.000000
2006_08_HOU_TEN,2006-10-29,2006,REG,8,00-0024218,V.Young,TEN,HOU,-0.182628,-2.922049,16,-7.788435,0.312500,16.000000
2006_08_IND_DEN,2006-10-29,2006,REG,8,00-0010346,P.Manning,IND,DEN,0.599716,23.988642,40,20.708824,0.725000,40.000000
2006_08_IND_DEN,2006-10-29,2006,REG,8,00-0013042,J.Plummer,DEN,IND,0.264240,5.813290,22,6.334969,0.500000,22.000000
2006_08_JAX_PHI,2006-10-29,2006,REG,8,00-0011022,D.McNabb,PHI,JAX,-0.306153,-11.633807,38,-11.800667,0.342105,38.000000
2006_08_JAX_PHI,2006-10-29,2006,REG,8,00-0021231,D.Garrard,JAX,PHI,-0.280851,-5.055312,18,-4.814321,0.277778,18.000000
2006_08_NE_MIN,2006-10-30,2006,REG,8,00-0008442,B.Johnson,MIN,NE,-0.375845,-12.778737,34,-0.243202,0.470588,34.000000
2006_08_NE_MIN,2006-10-30,2006,REG,8,00-0019596,T.Brady,NE,MIN,0.270499,12.442933,46,4.306337,0.586957,46.000000
2006_08_NE_MIN,2006-10-30,2006,REG,8,00-0022026,B.Bollinger,MIN,NE,-0.863008,-10.356100,12,0.378158,0.250000,12.000000
2006_08_NYJ_CLE,2006-10-29,2006,REG,8,00-0019559,C.Pennington,NYJ,CLE,-0.313049,-9.078425,29,-16.490472,0.310345,29.000000
2006_08_NYJ_CLE,2006-10-29,2006,REG,8,00-0023502,C.Frye,CLE,NYJ,-0.111180,-2.779508,25,10.783076,0.400000,25.000000
2006_08_PIT_OAK,2006-10-29,2006,REG,8,00-0022924,B.Roethlisberger,PIT,LV,-0.403088,-16.123536,40,13.396448,0.425000,40.000000
2006_08_PIT_OAK,2006-10-29,2006,REG,8,00-0023504,A.Walter,LV,PIT,-0.778134,-15.562671,20,-24.354898,0.200000,20.000000
