passer_player_id,y,y1_team,team_fallback,e1_new_team,e2_coach_change,e3_ret_rec_epa,e4_team_pass_env,e5_sched_def
00-0021429,2010,LV,1,1,1,2.618109703063965,-0.025724632322397134,0.03994252655351706
00-0021429,2011,LV,0,0,1,1.4942781925201416,0.07051028514119945,0.05798013505417532
00-0021429,2012,ARI,0,1,1,-2.234043836593628,-0.2827220273156263,0.0481466976344569
00-0021429,2013,ARI,0,0,0,5.7913079261779785,0.01786852532964373,0.03664433618436775
00-0021429,2014,ARI,0,0,0,3.0730066299438477,0.003014851989290863,0.035339631963370394
00-0021429,2015,ARI,0,0,0,10.89971923828125,0.19353235466050117,0.056317097625755486
00-0021429,2016,ARI,0,0,0,4.80344295501709,0.0286179677652026,0.07452331712167516
00-0021678,2006,DAL,0,0,1,21.846317291259766,0.1362484776157139,-0.007820849340909425
00-0021678,2007,DAL,0,0,0,20.944746017456055,0.2340209810607876,0.010083611789213819
00-0021678,2008,DAL,0,0,0,13.395003318786621,0.03327108488169533,0.018217734162431283
00-0021678,2009,DAL,0,0,0,8.713478088378906,0.1657594125113438,0.05708826838941281
00-0021678,2010,DAL,0,0,0,4.613552093505859,0.07133380126559366,0.037120744891081164
00-0021678,2011,DAL,0,0,0,6.3862481117248535,0.14752435195193395,0.03829734657139525
00-0021678,2012,DAL,0,0,0,7.775899410247803,0.13287793629667358,0.07758529695643412
00-0021678,2013,DAL,0,0,0,7.393811225891113,0.10031717177030337,0.03231856408664339
00-0021678,2014,DAL,0,0,0,11.377555847167969,0.2828180568154013,0.07181822666853381
00-0021678,2015,DAL,0,0,0,-0.2553604245185852,-0.08171242077985409,0.09427764485677953
00-0021976,2006,KC,0,0,0,15.05014705657959,0.0038928299560549544,-0.030286570702574716
00-0021976,2007,KC,0,0,0,14.511931419372559,-0.10832074960545776,0.04035502099396617
00-0022005,2008,DEN,0,1,1,26.217531204223633,0.2018256861979186,0.023019843871252325
00-0022017,2006,LAC,0,0,1,16.620532989501953,0.14375912578520908,-0.0440290908089378
00-0022026,2006,MIN,0,0,0,6.095746040344238,-0.18155539452821948,-0.003621171175456134
00-0022026,2007,DAL,1,1,0,20.944746017456055,0.2340209810607876,0.010083611789213819
00-0022055,2006,SEA,0,0,0,11.158093452453613,-0.06154110809411319,0.010579825039637421
00-0022055,2007,SEA,0,0,0,15.882279396057129,0.08477600922715114,0.02876655407426779
00-0022055,2008,SEA,0,0,1,11.218423843383789,-0.06695918291378908,0.04850428404408153
00-0022055,2009,CLE,0,1,0,-3.4625651836395264,-0.2633919262726462,-0.008778113464641024
00-0022055,2010,CLE,0,0,1,2.655458450317383,-0.06314648113458986,0.05332155187774004
00-0022084,2013,SF,0,0,0,8.138968467712402,0.12070196177743438,0.0186769596653958
00-0022101,2009,CAR,1,1,0,1.6722484827041626,-0.09288299808114059,0.04301520562051319
00-0022121,2006,CHI,0,0,0,18.700092315673828,-0.08513362919184245,-0.006649781210950269
00-0022121,2007,CHI,0,0,0,10.733050346374512,-0.09910305516391073,0.04043922420327266
00-0022121,2008,HOU,0,1,0,17.805538177490234,0.07062379553479263,0.05488910485097975
00-0022121,2009,WAS,0,1,1,3.5083255767822266,-0.005431942438791014,0.06590823686711825
00-0022121,2010,WAS,0,0,0,4.475096225738525,-0.03540202810623681,0.03666995190348613
00-0022164,2006,BAL,0,0,0,14.860458374023438,0.07645204274288002,0.007434656091130431
00-0022164,2009,LV,0,1,0,-2.905993700027466,-0.26854401824450475,0.04464589962508656
00-0022164,2010,LV,0,0,1,2.618109703063965,-0.025724632322397134,0.03994252655351706
00-0022177,2006,ATL,1,1,1,13.240022659301758,-0.15535822752642273,0.01827743007620336
00-0022177,2007,PIT,0,1,0,18.71577262878418,0.14876508073033984,0.025651190368678065
00-0022177,2008,TB,0,1,1,13.691120147705078,0.03348176346504743,0.021106295544573113
00-0022177,2009,PIT,0,1,0,7.465153217315674,0.13820646395253727,0.0004056958981049751
00-0022217,2006,MIN,0,0,0,6.095746040344238,-0.18155539452821948,-0.003621171175456134
00-0022744,2007,IND,0,0,0,17.69407081604004,0.2515541074775019,0.02461363720074077
00-0022787,2006,HOU,0,1,0,9.446240425109863,-0.07614100873210218,-0.015632450139066334
00-0022787,2007,HOU,0,0,0,16.29788589477539,0.07437022043730117,0.02160005205306156
00-0022787,2008,HOU,0,0,0,17.805538177490234,0.07062379553479263,0.05488910485097975
00-0022787,2009,HOU,0,0,0,8.943770408630371,0.1991349321097629,0.05063423872730123
00-0022787,2010,HOU,0,0,0,7.061936855316162,0.13182514538622678,0.0572666980538913
00-0022787,2011,HOU,0,0,0,4.726418972015381,0.09801047134564367,0.05010120177194923
00-0022787,2012,HOU,0,0,0,6.340488910675049,0.12058222070472292,0.06500736691178867
00-0022787,2013,LV,0,1,0,4.150083541870117,-0.07198354314753677,0.02144597004954608
00-0022787,2014,BAL,0,1,0,4.943493366241455,0.1509798887578189,0.023584004751208067
00-0022787,2015,ATL,0,1,0,5.993504524230957,0.11045563743544874,0.04238369862176705
00-0022787,2018,ATL,0,0,0,11.585315704345703,0.18036369910601133,0.06605623298481239
00-0022803,2006,NYG,0,0,0,12.716629981994629,-0.020484523407129772,0.005341630462463379
00-0022803,2007,NYG,0,0,0,16.600337982177734,-0.03620489929729043,0.01981005987020345
00-0022803,2008,NYG,0,0,0,10.594683647155762,0.07895068267161551,0.024504655694880133
00-0022803,2009,NYG,0,0,0,8.050302505493164,0.1587252723802156,0.053109232123440875
00-0022803,2010,NYG,0,0,0,3.2468814849853516,0.07885685340055673,0.05087948355260469
00-0022803,2011,NYG,0,0,0,10.432476997375488,0.1722240702789201,0.04448365363832918
00-0022803,2012,NYG,0,0,0,3.7067039012908936,0.10125659079202472,0.0731553443344458
00-0022803,2013,NYG,0,0,0,1.4884212017059326,-0.09807961558074296,0.06756105942341763
00-0022803,2014,NYG,0,0,0,7.175982475280762,0.10178094252717208,0.0889199796143989
00-0022803,2015,NYG,0,0,1,6.705326080322266,0.09634462714973469,0.0850989242135151
00-0022803,2016,NYG,0,0,0,2.4582207202911377,-0.019245141595249506,0.05042177902468731
00-0022803,2017,NYG,0,0,1,1.9482556581497192,-0.11842388457739343,0.010060478077251044
00-0022803,2018,NYG,0,0,0,6.3922119140625,0.05079505299215325,0.0413935526449031
00-0022824,2013,SF,0,0,0,8.138968467712402,0.12070196177743438,0.0186769596653958
00-0022824,2019,ARI,0,0,0,5.671126842498779,0.011387373750964234,0.024836910816489206
00-0022824,2020,ARI,0,0,0,2.856117010116577,0.03747555863995394,0.09055152370447192
00-0022824,2021,ARI,0,0,0,8.78885555267334,0.0871999835075091,0.024484391806765773
00-0022864,2009,JAX,0,0,0,3.740062713623047,-0.01842826756927919,0.037307000978175395
00-0022864,2010,JAX,0,0,0,3.6517045497894287,-0.0068206504394082166,0.05041387857985258
00-0022912,2006,BUF,0,0,0,12.933375358581543,-0.058132567492498136,-0.027198017268918368
00-0022912,2007,BUF,0,0,0,8.857734680175781,-0.13568315183994037,0.031148385142218918
00-0022912,2008,LV,1,1,0,8.056451797485352,-0.20091382905047506,0.04698061510047261
00-0022921,2015,ARI,0,0,0,10.89971923828125,0.19353235466050117,0.056317097625755486
00-0022921,2016,ARI,0,0,0,4.80344295501709,0.0286179677652026,0.07452331712167516
00-0022921,2017,ARI,0,0,1,1.0874279737472534,-0.12108414061266001,-0.0018867469209332775
00-0022924,2006,PIT,0,0,1,19.008832931518555,0.06299424351884472,-0.020792538364327352
00-0022924,2007,PIT,0,0,0,18.71577262878418,0.14876508073033984,0.025651190368678065
00-0022924,2008,PIT,0,0,0,18.209537506103516,0.039007085410836966,0.03848351182275544
00-0022924,2009,PIT,1,0,0,7.465153217315674,0.13820646395253727,0.0004056958981049751
00-0022924,2010,PIT,0,0,0,8.879858016967773,0.1230272799796947,0.07103481462405625
00-0022924,2011,PIT,0,0,0,9.050117492675781,0.1397770166532297,0.02715644065552575
00-0022924,2012,PIT,0,0,0,5.386329174041748,0.09460364247182487,0.0368681131772364
00-0022924,2013,PIT,0,0,0,5.28154182434082,0.10739255551326071,0.03833827859929567
00-0022924,2014,PIT,0,0,0,7.5569610595703125,0.2293430784701618,0.007201501028376375
00-0022924,2015,PIT,0,0,0,6.223419189453125,0.08565668716430778,0.06833546446769911
00-0022924,2016,PIT,0,0,0,7.045045375823975,0.13372490443225957,0.07379313440689601
00-0022924,2017,PIT,0,0,0,7.815706253051758,0.15262843939776335,0.0008256253499370732
00-0022924,2018,PIT,0,0,0,7.385889530181885,0.19556510888484313,0.04275915678249301
00-0022924,2019,PIT,0,0,0,1.910894751548767,-0.10502291889053549,0.06437944837887008
00-0022924,2020,PIT,0,0,0,6.365662574768066,0.09253635570358867,0.11343324427759245
00-0022942,2006,LAC,0,0,1,16.620532989501953,0.14375912578520908,-0.0440290908089378
00-0022942,2007,LAC,0,0,0,22.305545806884766,0.0724674279397083,0.03586422742475388
00-0022942,2008,LAC,0,0,0,23.692968368530273,0.2407564084333513,0.02961650316385396
00-0022942,2009,LAC,0,0,0,10.831971168518066,0.30191750653975485,0.047080668515956214
00-0022942,2010,LAC,0,0,0,9.239117622375488,0.29417212413449745,0.04332480345464557
00-0022942,2011,LAC,0,0,0,7.787930488586426,0.16945475740834634,0.04810644818354039
00-0022942,2012,LAC,0,0,1,4.270275592803955,-0.004402455818832959,0.09044003673210199
00-0022942,2013,LAC,0,0,0,13.742609024047852,0.30060563721847927,0.03536893475877788
00-0022942,2014,LAC,0,0,0,4.717267036437988,0.11832190335312374,0.04234999524080671
00-0022942,2015,LAC,0,0,0,8.381728172302246,0.1048979884424914,0.03504740312950089
00-0022942,2016,LAC,0,0,1,7.7490081787109375,0.07899660232578681,0.028964648972336568
00-0022942,2017,LAC,0,0,0,8.66270923614502,0.1781434259903836,0.019401648980227736
00-0022942,2018,LAC,0,0,0,10.52400016784668,0.21813280344434793,0.05826228875180342
00-0022942,2019,IND,0,1,0,2.630842685699463,-0.028405022775636626,0.06054642606334307
00-0023158,2007,LA,0,0,0,11.832467079162598,-0.15337533428185082,0.020179045236656527
00-0023176,2006,CLE,0,0,0,13.10698127746582,-0.20013934071753817,-0.018410769133038463
00-0023176,2007,CLE,0,0,0,17.841642379760742,0.058206835873161,0.03252324416250391
00-0023176,2008,CLE,0,0,1,12.674964904785156,-0.20643458324069422,0.02064711728498459
00-0023176,2009,CLE,0,0,0,-3.4625651836395264,-0.2633919262726462,-0.008778113464641024
00-0023176,2010,CLE,0,0,1,2.655458450317383,-0.06314648113458986,0.05332155187774004
00-0023436,2006,SF,0,0,0,15.082316398620605,-0.07498085200444213,0.010801718157607977
00-0023436,2009,SF,0,0,0,2.6581828594207764,-0.06403835424224343,0.041565702343546444
00-0023436,2010,SF,0,0,1,5.859706878662109,-0.04661816166119542,0.03795763943666906
00-0023436,2011,SF,0,0,0,6.130053520202637,0.045076867454857755,0.02897807165183406
00-0023436,2012,KC,0,1,1,-1.5880160331726074,-0.2304209029358809,0.07600082336648697
00-0023436,2013,KC,0,0,0,3.3374288082122803,0.06009728103921218,0.04285961459058492
00-0023436,2014,KC,0,0,0,6.615488052368164,0.10211595001858915,0.03191585419305772
00-0023436,2015,KC,0,0,0,5.213971138000488,0.05389748420265781,0.03805590785594654
00-0023436,2016,KC,0,0,0,5.965244293212891,0.05944562265577442,0.019326833373518745
00-0023436,2017,WAS,0,1,0,4.0285468101501465,0.028312047568624574,0.02984167859534261
00-0023437,2008,MIA,0,0,0,14.188545227050781,0.150810284826684,0.028372657709783717
00-0023437,2009,MIA,0,0,0,3.804567337036133,-0.0018886335245487662,-0.010056424860706709
00-0023457,2006,BAL,0,0,0,14.860458374023438,0.07645204274288002,0.007434656091130431
00-0023457,2007,BAL,0,0,1,10.957608222961426,-0.10779835898209751,0.022860187812914677
00-0023457,2008,BAL,0,0,0,15.726635932922363,-0.0229726149207433,0.055353700294529795
00-0023459,2006,GB,0,0,0,14.090965270996094,-0.024256810247584398,-0.009181056759040317
00-0023459,2007,GB,0,0,0,18.428939819335938,0.2125014630186514,0.03539214217366708
00-0023459,2008,GB,0,0,0,16.555633544921875,0.13469685981429233,0.04788147164326671
00-0023459,2009,GB,0,0,0,11.187893867492676,0.19717412785553445,0.03720731576649247
00-0023459,2010,GB,0,0,0,10.586236953735352,0.22007298713956167,0.0022756586071128043
00-0023459,2011,GB,0,0,0,16.926076889038086,0.36878968443138394,0.026893460265346614
00-0023459,2012,GB,0,0,0,10.548483848571777,0.18883757471128568,0.04182265046419499
00-0023459,2013,GB,0,0,0,6.231958866119385,0.08823218455648002,0.039952174409355
