game_id,game_date,season,season_type,week,passer_player_id,passer_player_name,posteam,defteam,plays,epa,cpoe,success,age,log_pick,def_rating,adj_epa,b1_expanding,b2_prev_season,b3_ewma,b4_last12,k_epa,k_adj_epa,k_adj_epa_var,k_cpoe,k_success,k_informed,k_informed_pre,k_informed_var,leaf_v34,leaf_v34_pre,leaf_v34_unrestricted
2006_01_SD_OAK,2006-09-11,2006,REG,1,00-0023504,A.Walter,LV,LAC,7,-0.613654,-10.581499,0.142857,24.336756,4.234107,0.000000,-0.613654,,,,,-0.069245,-0.069245,0.004878,-1.166412,0.410537,-0.087730,-0.069138,0.004878,0.003506,0.014258,-0.019468
2006_02_ARI_SEA,2006-09-17,2006,REG,2,00-0007091,M.Hasselbeck,SEA,ARI,30,0.039133,-10.021508,0.333333,30.978782,5.231109,0.009103,0.030030,0.044979,,0.044979,0.044979,-0.027382,-0.028435,0.003856,-0.181169,0.416531,-0.050085,-0.060564,0.003856,0.027209,0.032137,0.004168
2006_02_ARI_SEA,2006-09-17,2006,REG,2,00-0017200,K.Warner,ARI,SEA,43,-0.006483,4.767359,0.395349,35.238877,5.572154,-0.008485,0.002002,0.226088,,0.226088,0.226088,-0.004048,-0.002736,0.003594,-0.631943,0.424004,-0.026267,-0.031434,0.003594,0.034140,0.029115,0.015280
2006_02_BUF_MIA,2006-09-17,2006,REG,2,00-0003739,D.Culpepper,MIA,BUF,40,-0.188914,8.753481,0.450000,29.634497,2.397895,-0.007762,-0.181152,-0.224020,,-0.224020,-0.224020,-0.095184,-0.094056,0.003633,-0.877611,0.421488,-0.097920,-0.083767,0.003633,0.005144,0.001501,-0.013922
2006_02_BUF_MIA,2006-09-17,2006,REG,2,00-0022912,J.Losman,BUF,MIA,20,-0.107573,3.491276,0.400000,25.516769,3.091042,0.016653,-0.124226,0.027881,,0.027881,0.027881,-0.046477,-0.047856,0.004140,0.130195,0.406389,-0.056855,-0.050773,0.004140,0.024632,0.025658,-0.003417
2006_02_CAR_MIN,2006-09-17,2006,REG,2,00-0004161,J.Delhomme,CAR,MIN,35,-0.233873,-13.302804,0.314286,31.685147,5.572154,0.002055,-0.235928,-0.384855,,-0.384855,-0.384855,-0.125647,-0.125910,0.003661,-2.371066,0.395385,-0.148476,-0.135623,0.003661,-0.032967,-0.017635,-0.059092
2006_02_CAR_MIN,2006-09-17,2006,REG,2,00-0008442,B.Johnson,MIN,CAR,36,-0.278436,5.755861,0.361111,38.009582,5.424950,0.005592,-0.284028,0.397872,,0.397872,0.397872,-0.029030,-0.029797,0.003811,-0.570761,0.411846,-0.053810,-0.017207,0.003811,0.021304,0.032334,-0.002719
2006_02_CLE_CIN,2006-09-17,2006,REG,2,00-0021429,C.Palmer,CIN,CLE,44,0.115770,1.287019,0.477273,26.724162,0.000000,0.004381,0.111389,-0.076437,,-0.076437,-0.076437,-0.023925,-0.024667,0.003851,-0.674474,0.443419,-0.013888,-0.039447,0.003851,0.043525,0.030542,0.032874
2006_02_CLE_CIN,2006-09-17,2006,REG,2,00-0023502,C.Frye,CLE,CIN,33,-0.100779,-2.741905,0.484848,25.054073,4.204693,-0.016079,-0.084700,-0.332845,,-0.332845,-0.332845,-0.090797,-0.088760,0.003840,-0.888946,0.426547,-0.103987,-0.106786,0.003840,0.004184,0.002105,-0.012711
2006_02_DET_CHI,2006-09-17,2006,REG,2,00-0006423,B.Griese,CHI,DET,1,0.868851,34.254682,1.000000,31.501711,4.510860,0.000899,0.867952,,,,,-0.045383,-0.045388,0.005025,-0.911206,0.422914,-0.067612,-0.072336,0.005025,0.016347,0.013086,-0.002137
