game_id,game_date,season,week,passer_player_id,passer_player_name,posteam,defteam,qb_epa_mean,qb_epa_sum,qb_epa_count,cpoe_mean,success_mean,attempts
2006_02_TEN_SD,2006-09-17,2006,2,00-0024218,V.Young,TEN,LAC,-0.005276823312871986,-0.09498281963169575,18,-8.85295740195683,0.3333333333333333,18.0
2006_02_WAS_DAL,2006-09-17,2006,2,00-0001361,D.Bledsoe,DAL,WAS,0.14930317424875897,5.8228237957016,39,-11.203649895531791,0.38461538461538464,39.0
2006_02_WAS_DAL,2006-09-17,2006,2,00-0002110,M.Brunell,WAS,DAL,-0.289234595528018,-10.990914630064685,38,-3.3027291297912598,0.39473684210526316,38.0
2006_03_ATL_NO,2006-09-25,2006,3,00-0020245,M.Vick,ATL,NO,-0.3375629231984927,-12.152265235145737,36,-13.2622845230564,0.19444444444444445,36.0
2006_03_ATL_NO,2006-09-25,2006,3,00-0020531,D.Brees,NO,ATL,0.13958158909510315,4.047866083757992,29,5.354050260323745,0.5517241379310345,29.0
2006_03_BAL_CLE,2006-09-24,2006,3,00-0011024,S.McNair,BAL,CLE,0.11941980219126334,5.254471296415587,44,9.204485408357671,0.45454545454545453,44.0
2006_03_BAL_CLE,2006-09-24,2006,3,00-0023502,C.Frye,CLE,BAL,-0.08067011277162237,-3.226804510864895,40,7.181740800539653,0.375,40.0
2006_03_CAR_TB,2006-09-24,2006,3,00-0004161,J.Delhomme,CAR,TB,0.049568952980999,1.9331891662589609,39,7.5006194186933115,0.46153846153846156,39.0
2006_03_CAR_TB,2006-09-24,2006,3,00-0022005,C.Simms,TB,CAR,-0.16625891619827599,-4.1564729049569,25,-5.37532477275185,0.4,25.0
2006_03_CAR_TB,2006-09-24,2006,3,00-0024408,B.Gradkowski,TB,CAR,0.4875855732243508,0.4875855732243508,1,19.911301136016846,1.0,1.0
2006_03_CHI_MIN,2006-09-24,2006,3,00-0008442,B.Johnson,MIN,CHI,-0.1341178166512655,-4.291770132840496,32,12.215680309704371,0.3125,32.0
2006_03_CHI_MIN,2006-09-24,2006,3,00-0022121,R.Grossman,CHI,MIN,-0.11608896176164674,-4.875736393989163,42,0.4458513952070667,0.40476190476190477,42.0
2006_03_CIN_PIT,2006-09-24,2006,3,00-0021429,C.Palmer,CIN,PIT,0.00909949191651928,0.2729847574955784,30,16.254510606328648,0.5666666666666667,30.0
2006_03_CIN_PIT,2006-09-24,2006,3,00-0022924,B.Roethlisberger,PIT,CIN,-0.1790193152127852,-7.160772608511408,40,-7.443846099906498,0.375,40.0
